,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent
16,seed_16,340.4837591524849,19.67014797703879,27.6,7.68,2.8,1.12,25,360,500,0.2
17,seed_17,396.4060919879719,20.090702876312815,37.68,10.56,4.4,1.44,25,360,500,0.2
18,seed_18,393.0168852283052,20.395723190871347,36.48,8.4,3.28,0.64,25,360,500,0.2
19,seed_19,397.9331371327254,20.201269298210047,24.96,7.6,2.56,0.4,25,360,500,0.2
0,seed_0,322.9099142891125,19.20770433014466,27.6,6.8,2.24,0.08,25,360,500,0.3
1,seed_1,327.0186498226843,19.745677665796645,31.92,6.08,2.0,0.32,25,360,500,0.3
2,seed_2,357.1292662682838,19.67660337431736,29.2,9.2,3.6,1.04,25,360,500,0.3
3,seed_3,338.7880317669614,20.59106295093081,41.84,9.44,2.72,0.16,25,360,500,0.3
4,seed_4,328.2670893805317,20.079950651206637,34.48,8.08,2.88,1.44,25,360,500,0.3
5,seed_5,371.2320623863855,19.628971581372987,33.12,6.88,2.72,0.64,25,360,500,0.3
6,seed_6,321.6324905727872,19.54981294269122,33.52,6.8,2.0,0.96,25,360,500,0.3
7,seed_7,343.9454609972823,19.688202584572075,26.4,4.56,2.08,0.8,25,360,500,0.3
8,seed_8,353.7640482350223,19.77365785465479,30.0,10.08,4.0,1.28,25,360,500,0.3
9,seed_9,351.63170025503865,18.96761161765732,32.4,11.6,4.72,1.92,25,360,500,0.3
10,seed_10,335.9621246177331,19.72051242957636,22.96,5.44,2.56,0.8,25,360,500,0.3
11,seed_11,300.6371868464744,20.17312620433385,38.32,11.28,4.48,0.96,25,360,500,0.3
12,seed_12,336.20720906483774,19.55418722189208,34.32,5.84,2.24,0.48,25,360,500,0.3
13,seed_13,318.96759864529923,19.33987231014328,40.48,11.12,4.88,1.68,25,360,500,0.3
14,seed_14,322.5648720624977,19.51419030737917,32.4,9.04,3.68,0.72,25,360,500,0.3
15,seed_15,355.4617847892747,20.15706760329464,25.68,5.68,2.64,0.72,25,360,500,0.3
16,seed_16,292.6433160007993,20.843441684607896,37.92,13.92,6.0,1.76,25,360,500,0.3
17,seed_17,327.29684829356165,19.55464991341664,16.16,2.4,0.88,0.16,25,360,500,0.3
18,seed_18,331.9992210922023,20.18535749936428,43.04,12.24,5.52,1.04,25,360,500,0.3
19,seed_19,331.3721964939912,20.29188702486283,36.16,13.92,8.24,1.52,25,360,500,0.3
0,seed_0,276.415746840804,19.43686126494432,32.0,5.6,1.52,0.24,25,360,500,0.4
1,seed_1,301.884294095372,19.067882037907296,32.8,6.88,2.24,0.64,25,360,500,0.4
2,seed_2,283.45479730397494,19.230722211796227,26.64,6.96,2.4,0.64,25,360,500,0.4
3,seed_3,316.73279597768845,19.885982739177035,41.44,8.72,2.88,0.88,25,360,500,0.4
4,seed_4,282.4886354856052,19.81337248538517,22.24,4.32,0.88,0.32,25,360,500,0.4
5,seed_5,325.4426928148373,19.79213447492994,35.84,7.36,2.88,0.88,25,360,500,0.4
6,seed_6,266.2811856884789,19.389788851398684,37.76,5.36,1.28,0.24,25,360,500,0.4
7,seed_7,258.77528117637337,19.948296629957262,32.8,5.52,2.4,0.8,25,360,500,0.4
8,seed_8,294.8748261178428,19.457016286252003,43.12,8.48,3.52,1.2,25,360,500,0.4
9,seed_9,296.90046673794177,19.58595139342229,42.32,11.12,4.64,1.04,25,360,500,0.4
10,seed_10,281.46759246113123,19.506257567274982,28.32,8.08,2.72,0.64,25,360,500,0.4
11,seed_11,259.53794843408576,19.4620975652237,35.84,9.12,3.28,0.88,25,360,500,0.4
12,seed_12,335.1224389862719,20.115913029420607,46.4,9.76,3.2,0.72,25,360,500,0.4
13,seed_13,289.4307924879941,18.9376251919907,36.48,10.24,5.36,2.16,25,360,500,0.4
14,seed_14,297.8113826450237,19.20698788336395,44.56,14.16,5.92,1.12,25,360,500,0.4
15,seed_15,332.1874038924939,20.474641231523822,34.16,7.76,3.2,1.2,25,360,500,0.4
16,seed_16,289.4781148717788,20.30068632361513,40.08,13.76,5.76,2.64,25,360,500,0.4
17,seed_17,300.71397343738244,19.75014744474793,37.2,9.44,4.8,1.52,25,360,500,0.4
18,seed_18,296.94435765095204,20.422799084093853,39.92,10.48,5.76,1.76,25,360,500,0.4
19,seed_19,295.68869804985803,19.66685185591994,32.32,7.36,2.48,0.72,25,360,500,0.4
0,seed_0,272.3213833215424,19.32137199881137,36.88,7.92,2.32,0.32,25,360,500,0.5
1,seed_1,231.34200720282047,18.892751471075808,40.16,9.2,5.2,0.56,25,360,500,0.5
2,seed_2,242.18294152030896,19.104242863196685,35.04,8.08,3.04,0.56,25,360,500,0.5
3,seed_3,261.0409188453048,19.521782649940658,37.36,9.28,3.04,0.88,25,360,500,0.5
4,seed_4,251.6838787425101,19.954258129722955,37.68,11.2,5.44,0.96,25,360,500,0.5
5,seed_5,256.97130240694713,19.51471797446869,24.48,4.56,2.24,0.48,25,360,500,0.5
6,seed_6,270.69921767561647,19.074414745134348,51.84,12.24,4.8,0.88,25,360,500,0.5
7,seed_7,255.4685724150427,19.70169565485133,46.48,9.12,2.16,0.64,25,360,500,0.5
8,seed_8,260.5862418724207,18.840962734083213,41.52,10.64,3.44,1.2,25,360,500,0.5
9,seed_9,264.6306265387089,18.63100010425765,47.12,12.32,5.84,0.88,25,360,500,0.5
10,seed_10,266.2695332730676,19.582450390905382,40.88,8.56,2.88,0.64,25,360,500,0.5
11,seed_11,253.86263385615567,19.302401724480813,35.68,10.8,4.72,1.2,25,360,500,0.5
12,seed_12,274.4249857056077,19.359595698584148,34.72,5.04,1.2,0.16,25,360,500,0.5
13,seed_13,257.6242592155156,19.20002702324263,45.84,14.0,6.0,2.4,25,360,500,0.5
14,seed_14,271.4699469158692,18.744424550598183,27.6,4.96,1.84,0.24,25,360,500,0.5
15,seed_15,293.8602207178621,19.949656141747887,32.4,6.24,2.56,0.08,25,360,500,0.5
16,seed_16,255.64906493209435,19.64936723361762,44.48,4.56,1.52,0.4,25,360,500,0.5
17,seed_17,258.2297492377256,19.099761660183194,36.72,8.0,2.64,0.64,25,360,500,0.5
18,seed_18,256.54402288783115,19.517295869465144,40.4,10.16,4.16,1.2,25,360,500,0.5
19,seed_19,244.2349821108385,19.46364345468907,32.24,8.48,3.76,0.96,25,360,500,0.5
0,seed_0,241.17958410809536,19.31012961449184,32.8,6.88,3.84,1.52,25,360,500,0.6
1,seed_1,202.9131470723112,18.58776570570708,44.0,8.88,2.88,1.04,25,360,500,0.6
2,seed_2,228.80262294120243,18.834897192266563,39.76,10.08,3.68,0.64,25,360,500,0.6
3,seed_3,182.9360891173262,18.742222810670647,59.84,10.0,2.16,0.24,25,360,500,0.6
4,seed_4,202.5420591644169,19.25668038241524,49.92,15.12,6.48,2.0,25,360,500,0.6
5,seed_5,229.15000248211916,19.404477273827588,36.8,7.76,3.2,0.96,25,360,500,0.6
6,seed_6,222.96934222327644,18.967709706009085,55.84,11.76,4.96,1.44,25,360,500,0.6
7,seed_7,210.0646832636998,19.50711502223057,48.96,10.96,5.36,2.32,25,360,500,0.6
8,seed_8,220.69192854761368,18.66832602671016,45.84,12.4,5.04,1.2,25,360,500,0.6
9,seed_9,203.17972134660548,18.75855871296667,38.56,7.12,3.44,0.56,25,360,500,0.6
10,seed_10,196.768067815645,18.847184724359245,36.64,8.8,2.88,1.44,25,360,500,0.6
11,seed_11,218.07285440542432,18.953513700064384,36.16,9.2,2.56,0.48,25,360,500,0.6
12,seed_12,207.46202562373892,18.80478792837064,46.32,11.52,4.88,1.52,25,360,500,0.6
13,seed_13,223.3353977313424,18.60638261442591,46.4,10.48,4.56,1.6,25,360,500,0.6
14,seed_14,200.27079167823524,18.597396887486383,40.48,9.68,4.0,1.36,25,360,500,0.6
15,seed_15,225.097605358458,19.55798099687394,34.48,5.44,2.08,0.4,25,360,500,0.6
16,seed_16,189.9820958364167,18.90577720569165,47.04,9.36,3.6,0.96,25,360,500,0.6
17,seed_17,205.60337798538407,19.08604730036862,41.2,10.0,4.56,1.04,25,360,500,0.6
18,seed_18,217.04103712677767,19.27148961103472,41.2,11.04,6.32,1.44,25,360,500,0.6
19,seed_19,201.274490322952,19.138908731716008,36.24,7.6,3.04,0.56,25,360,500,0.6
0,seed_0,171.96288955249187,18.55217250391777,44.32,8.8,3.04,0.16,25,360,500,0.7
1,seed_1,145.01459822614382,18.3486013811898,48.24,9.76,4.72,1.2,25,360,500,0.7
2,seed_2,164.41643304887089,19.16617154172713,42.8,10.88,4.16,1.12,25,360,500,0.7
3,seed_3,160.63111584230654,18.726416133844623,67.68,21.36,6.96,1.92,25,360,500,0.7
4,seed_4,162.71713668292833,19.16268138656266,41.12,8.96,1.76,0.4,25,360,500,0.7
5,seed_5,170.65899197920015,18.806833361864687,41.84,7.52,1.92,0.16,25,360,500,0.7
6,seed_6,168.3125836191083,19.171789576920062,63.28,17.52,6.8,0.48,25,360,500,0.7
7,seed_7,187.26390950771173,19.05878682675433,56.0,12.48,3.2,0.48,25,360,500,0.7
8,seed_8,156.0107601062615,18.73000056784849,54.16,15.12,5.6,1.68,25,360,500,0.7
9,seed_9,175.09521552725485,18.85286628597413,53.04,14.72,4.24,1.2,25,360,500,0.7
