,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,346.97403970057843,20.262589408997115,126.16,36.6,16.4,4.88,50,360,500,0.7,0.08
seed_1,352.18917794500516,21.244852436496682,161.64,47.56,18.68,5.6,50,360,500,0.7,0.08
seed_2,354.5525474703988,20.421813083368765,140.92,43.04,18.28,6.4,50,360,500,0.7,0.08
seed_3,369.37355323927,20.90839814813199,156.32,42.6,18.12,5.24,50,360,500,0.7,0.08
seed_4,352.5969997719969,20.275835805667562,133.6,37.16,13.84,4.36,50,360,500,0.7,0.08
seed_5,381.91973084865305,20.685031395254658,116.88,30.84,13.48,4.12,50,360,500,0.7,0.08
seed_6,373.2671774956591,20.02846481134277,130.68,35.16,12.88,4.28,50,360,500,0.7,0.08
seed_7,365.22847044201933,20.781013781804727,134.68,38.28,16.6,4.84,50,360,500,0.7,0.08
seed_8,359.4605644713502,20.471541642093612,132.08,36.64,16.52,4.96,50,360,500,0.7,0.08
seed_9,353.9268419761101,20.39544908860938,124.36,32.2,13.04,3.44,50,360,500,0.7,0.08
seed_10,364.71395457402053,19.796772697630136,134.0,35.88,13.2,3.12,50,360,500,0.7,0.08
seed_11,344.8133492852633,20.611602366174964,141.36,38.0,17.48,5.08,50,360,500,0.7,0.08
seed_12,353.1793391323774,20.72027458136035,145.16,47.04,17.2,3.96,50,360,500,0.7,0.08
seed_13,374.0173517216315,20.084166965588,128.16,40.0,17.36,4.76,50,360,500,0.7,0.08
seed_14,370.3675088742708,21.243005764416505,126.48,37.44,16.56,4.56,50,360,500,0.7,0.08
seed_15,346.6050667527227,20.253796126822838,144.36,41.64,18.32,5.84,50,360,500,0.7,0.08
seed_16,338.7964619929348,20.03609420086993,150.16,40.56,16.56,4.16,50,360,500,0.7,0.08
seed_17,363.5414475178136,20.761052921255377,136.44,38.56,14.6,4.28,50,360,500,0.7,0.08
seed_18,337.1841255977137,20.001486335952467,146.84,45.48,19.92,6.48,50,360,500,0.7,0.08
seed_19,364.03714104775935,21.15089753910182,136.72,44.72,19.32,5.56,50,360,500,0.7,0.08
