,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,164.7880741813069,18.655342782847864,160.96,47.48,20.08,6.04,50,360,500,0.5,0.032
seed_1,171.7883907095062,18.52508857748787,178.4,53.64,24.4,8.24,50,360,500,0.5,0.032
seed_2,176.8250200810691,18.71761535248449,176.96,56.68,23.68,7.76,50,360,500,0.5,0.032
seed_3,155.5955507354039,18.586399555013,185.96,57.72,24.2,9.04,50,360,500,0.5,0.032
seed_4,167.20572309501284,18.722478264397562,176.16,55.8,25.04,8.8,50,360,500,0.5,0.032
seed_5,176.19894330986503,18.74470283300546,179.88,58.36,28.12,9.88,50,360,500,0.5,0.032
seed_6,156.7166487272076,18.41528651539534,174.96,55.52,21.76,6.0,50,360,500,0.5,0.032
seed_7,182.204310882028,18.834183349751388,159.4,46.92,18.96,6.2,50,360,500,0.5,0.032
seed_8,167.5765618854501,18.597638932026268,175.92,53.84,21.44,5.48,50,360,500,0.5,0.032
seed_9,165.11651867752278,18.51475831917581,161.88,48.68,21.56,7.24,50,360,500,0.5,0.032
seed_10,166.0588537612347,18.21807962204255,164.92,53.08,23.92,7.92,50,360,500,0.5,0.032
seed_11,172.2270019764018,19.11937044991727,172.92,57.32,25.28,7.36,50,360,500,0.5,0.032
seed_12,162.63705343216242,18.52805968919004,174.4,54.48,22.4,8.4,50,360,500,0.5,0.032
seed_13,176.50876351518548,18.64207089602262,180.96,57.76,26.32,7.72,50,360,500,0.5,0.032
seed_14,176.92167296544037,18.824731677529265,176.52,56.76,26.76,8.56,50,360,500,0.5,0.032
seed_15,174.11238563146551,18.912135216592635,198.64,70.0,33.24,10.08,50,360,500,0.5,0.032
seed_16,172.30547541854116,19.2267749769739,173.6,52.24,23.8,8.12,50,360,500,0.5,0.032
seed_17,157.70750614920146,18.270035070064697,182.44,56.0,20.92,6.56,50,360,500,0.5,0.032
seed_18,171.84062624566386,18.832154841326904,195.68,65.72,29.6,8.72,50,360,500,0.5,0.032
seed_19,166.71960201998692,18.403440657043486,170.16,52.0,22.92,7.56,50,360,500,0.5,0.032
