,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,289.57098745155207,20.06802839860264,127.64,34.48,13.32,3.56,50,360,500,0.6,0.06
1,seed_1,296.9210543758541,19.941603122141416,147.56,44.84,18.8,5.24,50,360,500,0.6,0.06
2,seed_2,295.2831334281668,19.760065403079096,130.48,40.04,17.44,5.6,50,360,500,0.6,0.06
3,seed_3,275.65923928924525,19.68745429526423,146.44,41.48,16.2,4.76,50,360,500,0.6,0.06
4,seed_4,301.0890274416645,20.11877947810812,116.16,33.64,13.88,4.36,50,360,500,0.6,0.06
5,seed_5,327.1081716498519,20.06504000113529,132.16,41.04,16.84,5.96,50,360,500,0.6,0.06
6,seed_6,283.02839686007457,19.95627242125972,130.4,34.2,14.44,3.84,50,360,500,0.6,0.06
7,seed_7,308.6450813649483,20.155201246058603,140.24,38.36,14.76,4.08,50,360,500,0.6,0.06
8,seed_8,317.0277878278889,20.349270223980007,141.32,39.8,17.72,5.28,50,360,500,0.6,0.06
9,seed_9,311.36738876633024,20.060379238227725,120.4,36.48,17.04,5.6,50,360,500,0.6,0.06
10,seed_10,298.1476461706733,20.230428643594344,136.28,43.4,19.36,5.92,50,360,500,0.6,0.06
11,seed_11,303.31912680247973,19.852424320788582,126.84,36.8,16.32,5.56,50,360,500,0.6,0.06
12,seed_12,280.55112032931834,19.953791765452205,142.56,41.4,17.64,5.2,50,360,500,0.6,0.06
13,seed_13,305.11122602954606,20.00007920047353,148.36,42.68,17.08,5.32,50,360,500,0.6,0.06
14,seed_14,295.2830194266315,19.952888243668728,145.92,40.6,17.08,5.32,50,360,500,0.6,0.06
15,seed_15,296.38153313590215,20.35913605584583,158.12,46.0,19.04,4.96,50,360,500,0.6,0.06
16,seed_16,292.3887015635636,20.155645349410715,158.04,43.32,18.2,5.4,50,360,500,0.6,0.06
17,seed_17,306.0459091856207,20.08081950632763,141.56,43.04,16.48,4.08,50,360,500,0.6,0.06
18,seed_18,310.89934660273434,19.940964047047864,119.56,35.88,15.4,4.48,50,360,500,0.6,0.06
19,seed_19,311.0681638550891,20.301191417881856,140.36,41.48,18.68,6.0,50,360,500,0.6,0.06
