,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,161.4164891775931,18.801513266257306,51.12,12.48,4.48,1.2,25,360,500,0.5,0.04
seed_1,134.97443059727885,18.326218657581336,51.2,12.48,4.8,1.68,25,360,500,0.5,0.04
seed_2,154.22764068880102,18.384447726776145,58.24,18.32,7.84,2.88,25,360,500,0.5,0.04
seed_3,156.46827149614867,18.441202203670883,45.92,11.28,5.04,2.16,25,360,500,0.5,0.04
seed_4,155.81631325692246,18.586243087833672,58.08,17.2,8.0,1.92,25,360,500,0.5,0.04
seed_5,156.87015985957652,18.883756908079295,68.88,21.28,9.2,3.44,25,360,500,0.5,0.04
seed_6,147.83390267308152,18.385984558232266,64.72,18.96,8.0,2.08,25,360,500,0.5,0.04
seed_7,159.6761853613031,18.486646141788157,56.08,11.76,4.88,0.72,25,360,500,0.5,0.04
seed_8,143.85565639745855,18.255758990942716,60.24,15.04,5.44,1.92,25,360,500,0.5,0.04
seed_9,146.19612881664574,18.084384733571067,54.4,17.04,7.28,2.32,25,360,500,0.5,0.04
seed_10,146.66919757860308,18.346685240397317,56.64,15.12,6.48,1.92,25,360,500,0.5,0.04
seed_11,157.3298270866953,18.74506150871393,63.2,22.32,12.0,3.04,25,360,500,0.5,0.04
seed_12,156.42261462192153,18.133926528014392,50.4,17.28,9.76,2.08,25,360,500,0.5,0.04
seed_13,151.5895055010478,18.48712070148249,60.32,16.0,6.72,1.92,25,360,500,0.5,0.04
seed_14,156.75131177232043,18.38845152799315,60.32,18.96,9.12,2.72,25,360,500,0.5,0.04
seed_15,182.25351783158396,19.204838269094036,61.84,18.16,7.44,1.92,25,360,500,0.5,0.04
seed_16,147.36115422605576,18.40478491185378,50.88,15.68,7.6,2.16,25,360,500,0.5,0.04
seed_17,168.0380234892961,18.52459139805091,56.08,14.56,6.32,2.96,25,360,500,0.5,0.04
seed_18,167.06596676158446,18.81332106841798,54.0,18.32,7.68,2.0,25,360,500,0.5,0.04
seed_19,145.4457123970313,18.322105362285452,47.2,11.2,3.52,0.64,25,360,500,0.5,0.04
