,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,150.7183555016722,18.922599483015453,179.0,55.32,24.28,7.6,50,360,500,0.9,0.032
seed_1,151.48632760482397,18.82026407004431,177.08,50.44,21.64,6.8,50,360,500,0.9,0.032
seed_2,140.9062634299318,18.861647715931515,183.2,53.72,23.8,6.88,50,360,500,0.9,0.032
seed_3,124.74937475922616,18.858451070251434,189.88,54.36,21.76,4.92,50,360,500,0.9,0.032
seed_4,140.15683883516402,18.868152424180575,185.92,56.32,22.64,6.52,50,360,500,0.9,0.032
seed_5,141.37652325138185,18.879956285658086,170.4,49.76,19.64,5.52,50,360,500,0.9,0.032
seed_6,134.02395083019564,18.816437369055716,191.08,58.48,24.56,5.24,50,360,500,0.9,0.032
seed_7,146.46090260704764,18.792632080260248,165.64,43.84,18.52,5.12,50,360,500,0.9,0.032
seed_8,136.81934696015148,18.69979709361432,175.12,48.64,19.88,4.68,50,360,500,0.9,0.032
seed_9,144.01976671053154,18.592819779014896,167.44,49.48,17.44,5.12,50,360,500,0.9,0.032
seed_10,131.4746541010323,18.468757513010008,168.92,48.6,22.8,6.2,50,360,500,0.9,0.032
seed_11,139.6091569703744,19.117299872369014,173.24,48.2,21.52,5.48,50,360,500,0.9,0.032
seed_12,135.84433465476545,18.618714019197835,187.16,53.88,18.8,5.04,50,360,500,0.9,0.032
seed_13,139.9922027576154,18.62623841731874,176.8,49.52,20.84,5.88,50,360,500,0.9,0.032
seed_14,143.0892216455325,18.802217705755886,162.48,49.48,22.16,5.2,50,360,500,0.9,0.032
seed_15,139.9834601616514,18.86837676164096,195.08,58.52,27.4,7.32,50,360,500,0.9,0.032
seed_16,140.37036627172438,19.520626637326693,168.72,49.92,21.72,6.64,50,360,500,0.9,0.032
seed_17,139.86492604030744,18.703993909971405,181.28,52.0,20.76,6.28,50,360,500,0.9,0.032
seed_18,138.62665928260682,18.665744398024945,208.36,69.12,30.52,9.08,50,360,500,0.9,0.032
seed_19,137.0929777212796,18.783470411197943,187.2,51.48,22.56,7.32,50,360,500,0.9,0.032
