,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,236.59809788260608,19.29634923061432,139.2,43.32,18.12,5.64,50,360,500,0.4,0.042
seed_1,239.01265647760476,19.396625237437785,153.28,50.28,21.32,5.84,50,360,500,0.4,0.042
seed_2,257.29008733368806,19.23549155644416,135.84,44.48,21.12,7.08,50,360,500,0.4,0.042
seed_3,230.24529851803354,19.438917882212923,160.36,49.2,22.88,6.96,50,360,500,0.4,0.042
seed_4,241.547504821256,19.366389912489424,147.16,45.72,23.68,8.48,50,360,500,0.4,0.042
seed_5,246.09985055393204,19.519547927826412,151.32,46.56,19.48,5.36,50,360,500,0.4,0.042
seed_6,240.51030802888988,19.22576065396577,146.08,46.64,18.6,4.96,50,360,500,0.4,0.042
seed_7,258.80754113901907,19.383909215457738,146.56,50.16,21.08,6.92,50,360,500,0.4,0.042
seed_8,242.84810567190056,19.11354892093896,156.52,48.16,21.04,5.92,50,360,500,0.4,0.042
seed_9,262.563796856949,19.244984985490447,145.92,47.96,21.68,6.52,50,360,500,0.4,0.042
seed_10,238.64990333439607,19.28251823031394,149.2,50.4,23.76,6.56,50,360,500,0.4,0.042
seed_11,242.27024713116728,19.496872383199797,137.16,42.28,17.96,5.24,50,360,500,0.4,0.042
seed_12,240.16541532590986,19.321021988094895,150.8,46.28,19.16,6.52,50,360,500,0.4,0.042
seed_13,253.2853599146781,19.118035955955644,152.68,48.0,19.92,5.28,50,360,500,0.4,0.042
seed_14,243.75598221560506,19.608612289969184,155.84,45.72,20.0,7.16,50,360,500,0.4,0.042
seed_15,241.2097557418401,19.48106905958571,157.56,53.28,26.56,9.48,50,360,500,0.4,0.042
seed_16,246.54880159241634,19.349244410865893,143.64,38.8,16.48,5.72,50,360,500,0.4,0.042
seed_17,236.38119547378352,19.32280846586062,160.52,51.32,21.44,6.88,50,360,500,0.4,0.042
seed_18,235.38172040621066,19.442100461169808,166.56,53.64,24.48,8.2,50,360,500,0.4,0.042
seed_19,247.35129498800995,19.623197784499624,144.44,43.64,19.44,6.44,50,360,500,0.4,0.042
