,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,157.2170357472825,18.307288791413683,47.76,11.44,4.0,0.64,25,360,500,0.8,0.06
1,seed_1,127.1762136505272,18.29549686913092,60.32,14.64,5.92,0.72,25,360,500,0.8,0.06
2,seed_2,142.18022164562683,18.183284859931227,49.68,12.0,3.84,1.12,25,360,500,0.8,0.06
3,seed_3,125.05210715114552,18.637593189088797,67.84,15.92,5.92,1.68,25,360,500,0.8,0.06
4,seed_4,136.1667536201613,18.73924867339505,64.64,20.72,9.84,3.12,25,360,500,0.8,0.06
5,seed_5,141.06082690983047,19.126974542682827,68.88,15.92,4.08,1.28,25,360,500,0.8,0.06
6,seed_6,136.67106619621833,18.24728960844388,57.36,12.8,5.6,0.88,25,360,500,0.8,0.06
7,seed_7,156.73998153137893,18.85670576025669,68.8,13.84,5.44,1.68,25,360,500,0.8,0.06
8,seed_8,123.34430826916092,18.29310222311505,58.24,14.08,6.08,2.24,25,360,500,0.8,0.06
9,seed_9,136.99937694102584,18.77060609529183,56.4,14.8,6.08,1.44,25,360,500,0.8,0.06
10,seed_10,135.14149146413783,18.554819690543585,50.16,13.2,6.08,2.24,25,360,500,0.8,0.06
11,seed_11,143.57389747927922,18.795725666997704,75.52,16.4,5.92,1.44,25,360,500,0.8,0.06
12,seed_12,129.847378516216,18.36318076095161,57.2,11.12,3.6,0.8,25,360,500,0.8,0.06
13,seed_13,153.3670496068456,18.5136224832858,49.12,12.72,5.2,1.92,25,360,500,0.8,0.06
14,seed_14,136.1217393136065,18.190819944283163,42.56,10.16,3.36,0.24,25,360,500,0.8,0.06
15,seed_15,185.53104044323308,19.46730651101379,55.36,13.28,5.52,2.08,25,360,500,0.8,0.06
16,seed_16,132.45272589719244,18.59965951346249,51.84,13.76,4.64,1.28,25,360,500,0.8,0.06
17,seed_17,146.62052525804384,19.26318437206965,38.48,7.84,2.64,0.4,25,360,500,0.8,0.06
18,seed_18,142.30289021734652,18.74638053545932,63.84,18.24,7.52,1.52,25,360,500,0.8,0.06
19,seed_19,147.7038073467699,18.80345755252191,48.48,12.0,4.56,1.12,25,360,500,0.8,0.06
