,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,241.17958410809536,19.31012961449184,32.8,6.88,3.84,1.52,25,360,500,0.6,0.06
1,seed_1,202.9131470723112,18.58776570570708,44.0,8.88,2.88,1.04,25,360,500,0.6,0.06
2,seed_2,228.80262294120243,18.834897192266563,39.76,10.08,3.68,0.64,25,360,500,0.6,0.06
3,seed_3,182.9360891173262,18.742222810670647,59.84,10.0,2.16,0.24,25,360,500,0.6,0.06
4,seed_4,202.5420591644169,19.25668038241524,49.92,15.12,6.48,2.0,25,360,500,0.6,0.06
5,seed_5,229.15000248211916,19.404477273827588,36.8,7.76,3.2,0.96,25,360,500,0.6,0.06
6,seed_6,222.96934222327644,18.967709706009085,55.84,11.76,4.96,1.44,25,360,500,0.6,0.06
7,seed_7,210.0646832636998,19.50711502223057,48.96,10.96,5.36,2.32,25,360,500,0.6,0.06
8,seed_8,220.69192854761368,18.66832602671016,45.84,12.4,5.04,1.2,25,360,500,0.6,0.06
9,seed_9,203.17972134660548,18.75855871296667,38.56,7.12,3.44,0.56,25,360,500,0.6,0.06
10,seed_10,196.768067815645,18.847184724359245,36.64,8.8,2.88,1.44,25,360,500,0.6,0.06
11,seed_11,218.07285440542432,18.953513700064384,36.16,9.2,2.56,0.48,25,360,500,0.6,0.06
12,seed_12,207.46202562373892,18.80478792837064,46.32,11.52,4.88,1.52,25,360,500,0.6,0.06
13,seed_13,223.3353977313424,18.60638261442591,46.4,10.48,4.56,1.6,25,360,500,0.6,0.06
14,seed_14,200.27079167823524,18.597396887486383,40.48,9.68,4.0,1.36,25,360,500,0.6,0.06
15,seed_15,225.097605358458,19.55798099687394,34.48,5.44,2.08,0.4,25,360,500,0.6,0.06
16,seed_16,189.9820958364167,18.90577720569165,47.04,9.36,3.6,0.96,25,360,500,0.6,0.06
17,seed_17,205.60337798538407,19.08604730036862,41.2,10.0,4.56,1.04,25,360,500,0.6,0.06
18,seed_18,217.04103712677767,19.27148961103472,41.2,11.04,6.32,1.44,25,360,500,0.6,0.06
19,seed_19,201.274490322952,19.138908731716008,36.24,7.6,3.04,0.56,25,360,500,0.6,0.06
