,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,308.79278869491304,19.793195803376182,426.9,147.5,68.48,21.42,100,360,500,0.8,0.1
1,seed_1,312.208768501142,19.55699171016281,443.06,158.54,77.5,25.14,100,360,500,0.8,0.1
2,seed_2,318.1639025292923,19.66199597749882,431.5,146.88,68.88,23.38,100,360,500,0.8,0.1
3,seed_3,296.01374560067114,20.08849809018195,440.6,152.0,68.54,22.94,100,360,500,0.8,0.1
4,seed_4,300.0502943575629,19.59880153740504,432.2,150.14,71.24,22.8,100,360,500,0.8,0.1
