,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,285.67657924869343,20.581082739459834,137.36,36.96,15.36,4.52,50,360,500,0.8,0.08
seed_1,288.78210214816806,19.79336555003242,147.88,43.88,18.44,6.08,50,360,500,0.8,0.08
seed_2,266.07520241942166,19.7817919123308,142.44,40.92,13.68,4.4,50,360,500,0.8,0.08
seed_3,269.5851576327592,19.666027258277882,162.0,47.92,19.4,4.56,50,360,500,0.8,0.08
seed_4,254.81109114589484,20.381805980332135,143.88,38.28,14.32,3.72,50,360,500,0.8,0.08
seed_5,286.04404550636366,19.990174669824707,150.24,40.56,15.44,4.48,50,360,500,0.8,0.08
seed_6,273.4940351371977,19.602917948244045,163.4,44.96,16.44,3.88,50,360,500,0.8,0.08
seed_7,285.41612143476954,19.740262213498756,163.44,45.88,18.24,6.12,50,360,500,0.8,0.08
seed_8,287.21584443967316,19.710848098968366,142.12,38.88,15.32,4.72,50,360,500,0.8,0.08
seed_9,281.15946926729123,19.95835614536893,133.52,37.68,16.6,6.12,50,360,500,0.8,0.08
seed_10,262.1677644842948,20.136923420892384,146.44,40.52,18.56,4.32,50,360,500,0.8,0.08
seed_11,282.4122728607367,19.80715809894103,150.8,49.28,21.4,6.28,50,360,500,0.8,0.08
seed_12,279.64982419498483,19.771399782424986,148.36,42.6,18.76,5.8,50,360,500,0.8,0.08
seed_13,285.6024649568163,19.911708917600524,160.96,47.84,18.32,5.04,50,360,500,0.8,0.08
seed_14,283.0565053283721,19.958554112294628,141.0,38.32,16.32,4.72,50,360,500,0.8,0.08
seed_15,268.0645973720532,20.075412616502355,169.36,49.48,19.6,5.88,50,360,500,0.8,0.08
seed_16,281.2160728444375,19.92455491990373,147.32,42.96,18.32,5.52,50,360,500,0.8,0.08
seed_17,267.3989519511649,20.14566797544747,150.0,43.6,17.36,3.76,50,360,500,0.8,0.08
seed_18,277.5092388645107,19.763803244724166,164.84,53.64,22.84,7.28,50,360,500,0.8,0.08
seed_19,273.3217495249791,19.620771229534345,171.76,54.56,22.96,7.04,50,360,500,0.8,0.08
