,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,179.3050828027146,19.56221125040018,154.32,47.12,22.52,6.96,50,360,500,0.9,0.06
1,seed_1,178.22643797285684,19.10779022764036,174.04,45.36,20.12,6.76,50,360,500,0.9,0.06
2,seed_2,173.2024386876092,18.7549479219301,166.56,48.96,19.88,6.16,50,360,500,0.9,0.06
3,seed_3,155.64933339588006,19.3564829411281,175.8,48.36,21.2,6.0,50,360,500,0.9,0.06
4,seed_4,163.90406046024006,19.2974099928823,166.96,43.6,18.44,6.16,50,360,500,0.9,0.06
5,seed_5,166.0420690757003,19.063445264085225,165.76,47.84,19.92,5.96,50,360,500,0.9,0.06
6,seed_6,166.20626850849283,18.63228459410512,160.68,49.32,20.32,5.88,50,360,500,0.9,0.06
7,seed_7,176.60876051458456,19.11037897371053,153.64,39.8,17.76,5.88,50,360,500,0.9,0.06
8,seed_8,164.79555184848687,18.9435050320216,163.12,40.72,16.24,4.76,50,360,500,0.9,0.06
9,seed_9,173.4200765567765,18.84859199152512,164.6,51.64,22.0,6.4,50,360,500,0.9,0.06
10,seed_10,162.97631835819934,18.811400565599023,166.6,47.2,18.28,5.32,50,360,500,0.9,0.06
11,seed_11,181.8762367156707,19.92093147595569,160.56,48.76,20.8,5.12,50,360,500,0.9,0.06
12,seed_12,166.51402861935873,19.0615111755138,172.12,55.36,23.84,7.32,50,360,500,0.9,0.06
13,seed_13,177.08179145041086,18.94065783440505,172.2,54.0,22.68,7.24,50,360,500,0.9,0.06
14,seed_14,184.5933161541604,19.20046393867268,161.44,48.16,19.64,5.44,50,360,500,0.9,0.06
15,seed_15,163.91182466027036,19.149834543020123,187.56,55.76,24.68,7.12,50,360,500,0.9,0.06
16,seed_16,164.3118379531521,19.873486296396315,164.0,52.56,21.76,6.88,50,360,500,0.9,0.06
17,seed_17,163.0988412374323,18.918674750864778,167.44,52.6,19.48,4.2,50,360,500,0.9,0.06
18,seed_18,164.6269038795833,19.06426553265185,181.08,52.96,21.96,7.12,50,360,500,0.9,0.06
19,seed_19,170.3537716116988,19.037300321660503,178.4,55.12,22.68,5.36,50,360,500,0.9,0.06
