,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,287.05632979569594,19.29081569777658,133.08,47.52,23.2,7.92,50,360,500,0.0,0.038
seed_1,297.200781813826,19.211852590892253,138.4,46.28,21.92,8.0,50,360,500,0.0,0.038
seed_2,299.8607513410892,19.28825335995176,142.0,50.36,23.68,8.68,50,360,500,0.0,0.038
seed_3,272.64282128016976,19.426466658651464,162.52,58.2,26.36,9.92,50,360,500,0.0,0.038
seed_4,289.48046733994363,19.241165221169375,137.68,49.64,23.12,7.64,50,360,500,0.0,0.038
seed_5,281.5772857209556,19.38337420723186,152.44,51.72,24.12,8.8,50,360,500,0.0,0.038
seed_6,279.93823492841153,19.025540599217226,134.08,45.44,21.92,6.52,50,360,500,0.0,0.038
seed_7,306.7764711006647,19.173123205619476,146.84,52.64,24.16,8.68,50,360,500,0.0,0.038
seed_8,279.6727278424389,19.378792758676845,147.84,52.0,25.24,9.2,50,360,500,0.0,0.038
seed_9,292.3512262367676,19.149479315901967,153.28,53.4,24.8,8.44,50,360,500,0.0,0.038
seed_10,285.5305782208245,19.108145980627775,138.72,43.96,19.92,6.28,50,360,500,0.0,0.038
seed_11,270.7040891682964,19.721192909109458,150.36,50.4,21.68,6.88,50,360,500,0.0,0.038
seed_12,289.9796243976814,19.117261429720365,142.12,44.96,20.48,8.28,50,360,500,0.0,0.038
seed_13,290.0935524624818,19.11468637783216,149.4,47.76,20.56,6.8,50,360,500,0.0,0.038
seed_14,287.7185150932591,18.91415776866291,161.28,53.8,23.68,8.36,50,360,500,0.0,0.038
seed_15,286.10321842592845,19.465409034226713,164.8,58.44,27.44,9.32,50,360,500,0.0,0.038
seed_16,285.0734967334889,19.48902259658997,138.92,46.88,21.64,7.2,50,360,500,0.0,0.038
seed_17,283.03950260903787,18.967607446444436,161.8,53.96,24.76,7.0,50,360,500,0.0,0.038
seed_18,288.3049039790461,19.36430863332045,150.52,48.56,20.72,6.88,50,360,500,0.0,0.038
seed_19,287.23724969490524,19.304740163168656,136.6,47.04,22.92,7.36,50,360,500,0.0,0.038
