,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,276.415746840804,19.43686126494432,32.0,5.6,1.52,0.24,25,360,500,0.4,0.06
1,seed_1,301.884294095372,19.067882037907296,32.8,6.88,2.24,0.64,25,360,500,0.4,0.06
2,seed_2,283.45479730397494,19.230722211796227,26.64,6.96,2.4,0.64,25,360,500,0.4,0.06
3,seed_3,316.73279597768845,19.885982739177035,41.44,8.72,2.88,0.88,25,360,500,0.4,0.06
4,seed_4,282.4886354856052,19.81337248538517,22.24,4.32,0.88,0.32,25,360,500,0.4,0.06
5,seed_5,325.4426928148373,19.79213447492994,35.84,7.36,2.88,0.88,25,360,500,0.4,0.06
6,seed_6,266.2811856884789,19.389788851398684,37.76,5.36,1.28,0.24,25,360,500,0.4,0.06
7,seed_7,258.77528117637337,19.948296629957262,32.8,5.52,2.4,0.8,25,360,500,0.4,0.06
8,seed_8,294.8748261178428,19.457016286252003,43.12,8.48,3.52,1.2,25,360,500,0.4,0.06
9,seed_9,296.90046673794177,19.58595139342229,42.32,11.12,4.64,1.04,25,360,500,0.4,0.06
10,seed_10,281.46759246113123,19.506257567274982,28.32,8.08,2.72,0.64,25,360,500,0.4,0.06
11,seed_11,259.53794843408576,19.4620975652237,35.84,9.12,3.28,0.88,25,360,500,0.4,0.06
12,seed_12,335.1224389862719,20.115913029420607,46.4,9.76,3.2,0.72,25,360,500,0.4,0.06
13,seed_13,289.4307924879941,18.9376251919907,36.48,10.24,5.36,2.16,25,360,500,0.4,0.06
14,seed_14,297.8113826450237,19.20698788336395,44.56,14.16,5.92,1.12,25,360,500,0.4,0.06
15,seed_15,332.1874038924939,20.474641231523822,34.16,7.76,3.2,1.2,25,360,500,0.4,0.06
16,seed_16,289.4781148717788,20.30068632361513,40.08,13.76,5.76,2.64,25,360,500,0.4,0.06
17,seed_17,300.71397343738244,19.75014744474793,37.2,9.44,4.8,1.52,25,360,500,0.4,0.06
18,seed_18,296.94435765095204,20.422799084093853,39.92,10.48,5.76,1.76,25,360,500,0.4,0.06
19,seed_19,295.68869804985803,19.66685185591994,32.32,7.36,2.48,0.72,25,360,500,0.4,0.06
