,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,106.78834883188242,17.341720082780906,214.36,77.4,38.08,13.08,50,360,500,0,0.02
seed_1,107.72921127634304,17.43168584721078,233.28,92.68,46.8,17.0,50,360,500,0,0.02
seed_2,111.77685938763716,17.316374973626534,222.76,89.64,44.44,15.92,50,360,500,0,0.02
seed_3,101.87758107149371,17.286276144567957,247.4,93.52,45.56,16.28,50,360,500,0,0.02
seed_4,108.87253017370676,17.27935492653893,226.76,89.04,43.6,14.2,50,360,500,0,0.02
seed_5,107.36992489656497,17.305710751647332,215.6,78.88,36.48,12.0,50,360,500,0,0.02
seed_6,100.10891003997008,17.172146387488525,232.4,92.04,45.36,15.92,50,360,500,0,0.02
seed_7,109.52052349749681,17.373228088738152,210.0,76.24,39.32,13.52,50,360,500,0,0.02
seed_8,102.25671974531011,17.34137173862824,235.0,92.6,46.12,15.24,50,360,500,0,0.02
seed_9,109.98207415625785,17.32306836433034,223.2,82.0,41.0,13.44,50,360,500,0,0.02
seed_10,102.24715238653678,17.225657971266937,223.36,79.04,38.8,13.8,50,360,500,0,0.02
seed_11,101.91540164693866,17.35525982658769,228.88,86.24,42.92,16.52,50,360,500,0,0.02
seed_12,104.36449400201866,17.29790923565552,239.56,90.88,42.96,14.0,50,360,500,0,0.02
seed_13,109.62081758977844,17.347277317214264,245.76,89.52,42.2,15.52,50,360,500,0,0.02
seed_14,103.57518746657243,17.26711537906189,217.72,84.52,43.68,16.16,50,360,500,0,0.02
seed_15,111.79026973414406,17.448956367141562,232.04,86.2,42.48,14.88,50,360,500,0,0.02
seed_16,104.85964759090963,17.314113551625255,223.6,85.8,38.0,12.24,50,360,500,0,0.02
seed_17,105.00779322660682,17.281798247160083,230.44,83.72,39.04,13.32,50,360,500,0,0.02
seed_18,106.69907286939478,17.438449810914392,236.4,90.12,43.92,15.64,50,360,500,0,0.02
seed_19,111.00638311446092,17.372312704347465,232.16,92.12,47.04,15.04,50,360,500,0,0.02
