,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,489.8326516067895,20.918300650978548,364.26,132.8,63.2,20.92,100,360,500,0.0,0.06
1,seed_1,488.3200855530455,21.04363689382941,355.18,132.52,66.44,22.92,100,360,500,0.0,0.06
2,seed_2,516.921242617283,20.553223524610967,350.4,128.52,60.54,20.5,100,360,500,0.0,0.06
3,seed_3,478.3970758932159,21.01684198543888,372.32,135.3,64.6,20.88,100,360,500,0.0,0.06
4,seed_4,468.16897354054856,20.886023370795836,370.26,138.22,67.44,23.72,100,360,500,0.0,0.06
