,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,1036.5086332788094,27.10744172701924,299.0,106.32,49.1,16.52,100,360,500,0.1,0.1
1,seed_1,1070.0860489949323,27.785114450799394,298.02,103.36,48.92,17.32,100,360,500,0.1,0.1
2,seed_2,1043.5893608946558,25.799619790359134,289.44,103.8,51.1,17.68,100,360,500,0.1,0.1
3,seed_3,1023.3819334685364,26.91250929228301,296.84,101.74,48.34,15.8,100,360,500,0.1,0.1
4,seed_4,1018.7282897829282,25.642811907809417,292.44,104.12,50.62,18.16,100,360,500,0.1,0.1
