,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,227.98314541663225,19.24082927885243,146.92,49.4,22.56,6.88,50,360,500,0.2,0.036000000000000004
seed_1,240.20664660048456,18.93457152591827,171.68,57.28,26.44,8.52,50,360,500,0.2,0.036000000000000004
seed_2,240.01367068051982,19.043311100230316,162.16,56.36,25.36,9.24,50,360,500,0.2,0.036000000000000004
seed_3,208.50129644310655,19.065812492210068,178.4,55.92,22.6,7.12,50,360,500,0.2,0.036000000000000004
seed_4,218.33082214484082,18.983641418070825,162.44,54.12,25.96,9.28,50,360,500,0.2,0.036000000000000004
seed_5,228.71140881782324,18.950097479985825,149.64,54.04,25.52,8.88,50,360,500,0.2,0.036000000000000004
seed_6,226.00116206502406,18.83850798914776,158.04,53.72,23.08,7.72,50,360,500,0.2,0.036000000000000004
seed_7,239.28884910506946,19.231255014645082,154.68,49.56,23.28,7.44,50,360,500,0.2,0.036000000000000004
seed_8,236.1589110776547,18.92318953593598,158.84,52.92,22.92,6.92,50,360,500,0.2,0.036000000000000004
seed_9,250.15583790201777,18.70311943967949,145.32,46.36,22.12,6.88,50,360,500,0.2,0.036000000000000004
seed_10,223.4729567996823,18.793490859967697,156.12,51.36,25.68,9.68,50,360,500,0.2,0.036000000000000004
seed_11,227.35611342015832,19.144476124506653,161.8,54.8,25.44,7.72,50,360,500,0.2,0.036000000000000004
seed_12,228.74816298762383,18.81540240026494,142.04,50.88,22.24,7.6,50,360,500,0.2,0.036000000000000004
seed_13,229.13224822152176,18.927668870647103,177.04,55.76,25.12,8.44,50,360,500,0.2,0.036000000000000004
seed_14,241.37385473763493,18.783625827549095,151.48,51.28,24.44,8.2,50,360,500,0.2,0.036000000000000004
seed_15,221.74285008895038,19.13173941077459,184.4,61.52,28.4,8.36,50,360,500,0.2,0.036000000000000004
seed_16,235.93982860327617,19.681766934114396,158.16,49.08,19.84,5.36,50,360,500,0.2,0.036000000000000004
seed_17,223.40329682630454,18.885655299912653,162.2,55.24,23.48,7.52,50,360,500,0.2,0.036000000000000004
seed_18,227.39941463891802,18.746408530366487,168.32,57.28,27.84,8.68,50,360,500,0.2,0.036000000000000004
seed_19,222.1373343021361,18.97158510508194,158.96,51.68,22.4,7.4,50,360,500,0.2,0.036000000000000004
