,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,192.30780342105726,19.172461201673656,149.28,43.16,18.2,4.96,50,360,500,0.7,0.044000000000000004
seed_1,197.11228987623156,18.908750692643913,163.76,48.0,21.68,6.2,50,360,500,0.7,0.044000000000000004
seed_2,191.7519283960316,19.113558126480342,157.32,50.48,22.08,6.32,50,360,500,0.7,0.044000000000000004
seed_3,171.5289254738631,19.08296175777422,183.68,58.08,22.76,6.16,50,360,500,0.7,0.044000000000000004
seed_4,181.2686994473405,19.3094600210274,154.2,46.0,19.48,6.08,50,360,500,0.7,0.044000000000000004
seed_5,199.15100747904074,19.423815918263706,144.48,44.28,18.08,3.84,50,360,500,0.7,0.044000000000000004
seed_6,181.01936763868906,19.067380295792884,164.68,48.72,20.12,5.36,50,360,500,0.7,0.044000000000000004
seed_7,197.45495676690834,19.199420524596036,156.68,45.68,19.28,5.6,50,360,500,0.7,0.044000000000000004
seed_8,195.19879259177492,18.746083237670355,165.6,46.96,20.08,5.68,50,360,500,0.7,0.044000000000000004
seed_9,192.31604233538542,18.874432706071268,151.64,41.52,16.28,5.76,50,360,500,0.7,0.044000000000000004
seed_10,182.9405270400603,19.155040017420852,154.48,47.76,17.88,4.52,50,360,500,0.7,0.044000000000000004
seed_11,186.15078404524098,19.299811980140408,172.32,52.64,24.32,7.24,50,360,500,0.7,0.044000000000000004
seed_12,183.87438817909694,18.918078689762147,171.4,51.12,20.88,5.72,50,360,500,0.7,0.044000000000000004
seed_13,196.4426933341899,19.07036795682484,177.48,53.28,21.64,6.6,50,360,500,0.7,0.044000000000000004
seed_14,191.5823843141183,19.283404218363472,163.76,49.92,19.92,5.32,50,360,500,0.7,0.044000000000000004
seed_15,179.36656958319895,19.024270658116205,181.68,58.56,26.56,8.88,50,360,500,0.7,0.044000000000000004
seed_16,193.27263128379275,19.11129501336635,163.96,48.48,21.24,5.84,50,360,500,0.7,0.044000000000000004
seed_17,190.32243342666803,19.024146499888552,161.4,45.6,17.92,5.52,50,360,500,0.7,0.044000000000000004
seed_18,185.55718043577457,18.871156826894573,181.72,55.92,24.0,6.4,50,360,500,0.7,0.044000000000000004
seed_19,189.2243846545994,19.15404673798939,162.16,43.84,16.52,5.52,50,360,500,0.7,0.044000000000000004
