,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,296.9960226741352,19.460316672867386,417.68,144.32,65.76,22.02,100,360,500,0.5,0.06
1,seed_1,297.7073715160036,19.41958408303209,426.9,149.92,70.0,21.5,100,360,500,0.5,0.06
2,seed_2,316.0841731197355,19.398782109076457,413.34,142.5,69.76,25.16,100,360,500,0.5,0.06
3,seed_3,303.9046534925055,19.46782176936715,438.74,154.28,73.64,25.24,100,360,500,0.5,0.06
4,seed_4,295.5255442275267,20.094800923167995,414.38,144.22,68.54,23.12,100,360,500,0.5,0.06
