,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,1686.4163650482888,30.020564108535883,34.32,12.2,5.88,1.84,50,360,500,0,0.1
seed_1,1661.1923143960519,28.92479900536952,43.52,12.76,6.2,1.96,50,360,500,0,0.1
seed_2,1725.3959306969525,29.8102565477365,33.0,11.12,5.88,2.12,50,360,500,0,0.1
seed_3,1719.2046188870954,29.736457452004707,26.88,8.12,3.84,1.44,50,360,500,0,0.1
seed_4,1773.877559650084,33.06055171297839,35.92,10.52,4.84,1.64,50,360,500,0,0.1
seed_5,1700.5627553886493,30.072980934095114,37.56,11.04,5.2,2.4,50,360,500,0,0.1
seed_6,1684.233532186181,32.466347599556094,40.92,14.32,6.52,2.24,50,360,500,0,0.1
seed_7,1789.154131980746,32.68296345074015,34.4,11.8,5.56,2.28,50,360,500,0,0.1
seed_8,1715.7802664145645,31.602139602121742,36.6,11.48,5.28,1.64,50,360,500,0,0.1
seed_9,1775.1981257091654,28.33978922690446,27.0,6.36,2.64,0.96,50,360,500,0,0.1
seed_10,1773.9730733940307,30.031620058315802,35.08,11.32,4.96,2.16,50,360,500,0,0.1
seed_11,1761.7040289454626,31.048224501068166,25.16,9.12,4.0,1.48,50,360,500,0,0.1
seed_12,1764.1960502638094,29.236902607285078,33.56,11.68,5.88,2.6,50,360,500,0,0.1
seed_13,1687.150674118629,30.115667485047467,42.0,12.96,6.48,2.04,50,360,500,0,0.1
seed_14,1689.1124973155613,32.24169483380208,41.4,15.36,7.52,2.56,50,360,500,0,0.1
seed_15,1706.7939779411402,31.297029324496542,34.68,12.24,5.64,1.92,50,360,500,0,0.1
seed_16,1724.6346453491758,31.110531796800817,39.72,14.0,6.88,2.4,50,360,500,0,0.1
seed_17,1728.2416965167943,31.21214853519964,36.0,12.08,5.56,1.76,50,360,500,0,0.1
seed_18,1729.2849968193302,30.41270999694661,29.88,10.8,4.76,2.12,50,360,500,0,0.1
seed_19,1669.8872212105582,32.063835840873786,45.0,17.16,8.8,3.12,50,360,500,0,0.1
