,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,144.3558038722547,19.091207135201373,155.44,47.12,20.56,6.24,50,360,500,0.9,0.034
seed_1,144.04159622016647,18.744521450550046,194.68,57.32,25.2,9.2,50,360,500,0.9,0.034
seed_2,140.8309996216639,19.032701012206964,184.12,55.76,24.32,8.0,50,360,500,0.9,0.034
seed_3,128.30810373582628,18.789147406446823,190.92,60.72,25.6,6.92,50,360,500,0.9,0.034
seed_4,135.66315409624409,18.737061967919903,184.56,57.28,23.84,6.6,50,360,500,0.9,0.034
seed_5,142.32494846352208,18.82928230825688,166.24,49.68,20.52,5.68,50,360,500,0.9,0.034
seed_6,133.23926670599852,18.422549189092365,170.6,50.96,20.24,5.8,50,360,500,0.9,0.034
seed_7,147.95006482170774,18.85445430840375,163.32,42.92,18.48,5.76,50,360,500,0.9,0.034
seed_8,139.02432039101103,18.565367810476815,174.96,46.52,19.52,5.04,50,360,500,0.9,0.034
seed_9,143.0087318485753,18.53994084200723,193.24,58.8,25.4,6.92,50,360,500,0.9,0.034
seed_10,130.0684446349538,18.476287551946413,168.48,52.52,22.52,6.08,50,360,500,0.9,0.034
seed_11,140.82206917917415,18.934561833085176,169.92,50.56,22.24,7.48,50,360,500,0.9,0.034
seed_12,136.76830004125398,18.74519253830128,168.92,47.56,18.84,5.24,50,360,500,0.9,0.034
seed_13,144.3245184834244,18.76049530989856,188.8,61.16,27.6,8.44,50,360,500,0.9,0.034
seed_14,145.76269167858115,18.68083633010933,168.96,49.08,18.24,5.32,50,360,500,0.9,0.034
seed_15,135.76299880129795,18.697722088659813,197.48,57.44,28.0,9.52,50,360,500,0.9,0.034
seed_16,141.02586196330344,19.274255291933496,181.28,48.4,18.84,6.16,50,360,500,0.9,0.034
seed_17,142.2072757267562,18.835208501721997,172.64,54.08,22.0,7.36,50,360,500,0.9,0.034
seed_18,145.99608953943155,18.88899791101781,189.04,53.16,23.44,7.52,50,360,500,0.9,0.034
seed_19,137.68312437478892,18.87724369039377,183.8,53.88,23.36,6.76,50,360,500,0.9,0.034
