,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,79.56232983405636,17.85160294290383,63.12,16.72,6.48,1.44,25,360,500,0.6,0.02
seed_1,82.22264111583623,17.708610485259147,87.36,24.4,10.4,3.68,25,360,500,0.6,0.02
seed_2,89.16919756081732,17.835330441619696,62.08,18.16,7.44,2.4,25,360,500,0.6,0.02
seed_3,77.5021900809818,17.53094056661988,86.32,28.24,10.88,3.36,25,360,500,0.6,0.02
seed_4,78.36655531493412,17.900562804235634,84.48,21.44,7.6,2.72,25,360,500,0.6,0.02
seed_5,95.43571512484246,17.872358236752415,61.12,16.24,5.76,0.88,25,360,500,0.6,0.02
seed_6,85.52120385937592,17.78956337927891,68.64,23.84,10.64,2.48,25,360,500,0.6,0.02
seed_7,85.27553430265222,17.71264338224213,66.16,17.44,7.76,2.8,25,360,500,0.6,0.02
seed_8,84.5085855160558,18.083034833506318,78.32,22.24,8.72,1.52,25,360,500,0.6,0.02
seed_9,87.46701954620788,17.63821330580141,77.12,21.52,9.6,2.96,25,360,500,0.6,0.02
seed_10,87.97946930997888,17.792505466640367,89.36,25.68,11.76,3.76,25,360,500,0.6,0.02
seed_11,84.0212072580283,17.737921838107052,77.52,22.88,6.64,1.36,25,360,500,0.6,0.02
seed_12,81.38069836199536,17.571423608730182,74.72,24.96,13.04,4.72,25,360,500,0.6,0.02
seed_13,81.92069035827231,17.861826002215142,72.8,20.4,10.08,3.44,25,360,500,0.6,0.02
seed_14,79.85767673932556,17.401558228347387,65.6,21.68,10.4,4.48,25,360,500,0.6,0.02
seed_15,87.00177266994412,18.422998953296396,78.16,20.48,7.84,2.64,25,360,500,0.6,0.02
seed_16,78.95615687311802,17.835790859428307,71.2,21.92,10.24,4.4,25,360,500,0.6,0.02
seed_17,91.61695345581691,17.777643908798947,71.2,19.84,8.48,2.56,25,360,500,0.6,0.02
seed_18,88.7200549150375,17.851392864345325,78.96,19.52,9.12,2.8,25,360,500,0.6,0.02
seed_19,81.8561281400452,17.99082872680733,73.84,21.36,8.0,2.72,25,360,500,0.6,0.02
