,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,168.87238449142987,18.969653590952355,162.96,49.84,23.0,7.04,50,360,500,0.5,0.034
seed_1,176.29813895694454,18.844158224993137,171.12,52.84,23.72,7.72,50,360,500,0.5,0.034
seed_2,186.413126937416,18.732131221215667,166.2,52.2,22.28,7.16,50,360,500,0.5,0.034
seed_3,165.43643697661878,18.766737920282957,192.72,60.8,24.48,7.8,50,360,500,0.5,0.034
seed_4,168.73515961913682,18.860422249974864,173.16,54.4,24.36,8.56,50,360,500,0.5,0.034
seed_5,189.16097198990485,18.790506016313195,168.28,52.76,23.2,7.44,50,360,500,0.5,0.034
seed_6,165.6703341885167,18.516589379231736,170.52,56.08,25.12,7.48,50,360,500,0.5,0.034
seed_7,193.9699172788334,18.955886858543806,168.56,48.76,21.64,6.2,50,360,500,0.5,0.034
seed_8,179.20511124604124,18.675275567367812,165.96,48.32,20.64,5.08,50,360,500,0.5,0.034
seed_9,179.74050541201933,18.7395562375758,157.84,48.64,23.0,7.56,50,360,500,0.5,0.034
seed_10,176.66012306690297,18.463880005569518,150.6,46.24,20.48,6.4,50,360,500,0.5,0.034
seed_11,175.6127487389922,19.118244370044856,172.8,57.16,25.32,7.24,50,360,500,0.5,0.034
seed_12,169.23450129695965,18.928390651977764,178.48,57.48,25.04,8.04,50,360,500,0.5,0.034
seed_13,183.30097639173823,18.825678637516607,178.76,59.72,26.84,8.92,50,360,500,0.5,0.034
seed_14,180.31645492788854,18.539786022230032,161.28,47.32,22.04,7.56,50,360,500,0.5,0.034
seed_15,178.71677274840567,18.72184400715983,206.04,71.68,34.48,10.28,50,360,500,0.5,0.034
seed_16,180.8545300468896,18.7167536211388,175.28,52.32,22.08,6.44,50,360,500,0.5,0.034
seed_17,165.59032856592927,18.543009712189757,171.6,51.08,20.0,4.76,50,360,500,0.5,0.034
seed_18,173.70916387611985,18.809748734854423,193.4,63.4,29.04,7.0,50,360,500,0.5,0.034
seed_19,177.85135826909666,18.80360891041103,168.32,51.4,25.36,7.56,50,360,500,0.5,0.034
