,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,322.9099142891125,19.20770433014466,27.6,6.8,2.24,0.08,25,360,500,0.3,0.06
1,seed_1,327.0186498226843,19.745677665796645,31.92,6.08,2.0,0.32,25,360,500,0.3,0.06
2,seed_2,357.1292662682838,19.67660337431736,29.2,9.2,3.6,1.04,25,360,500,0.3,0.06
3,seed_3,338.7880317669614,20.59106295093081,41.84,9.44,2.72,0.16,25,360,500,0.3,0.06
4,seed_4,328.2670893805317,20.079950651206637,34.48,8.08,2.88,1.44,25,360,500,0.3,0.06
5,seed_5,371.2320623863855,19.628971581372987,33.12,6.88,2.72,0.64,25,360,500,0.3,0.06
6,seed_6,321.6324905727872,19.54981294269122,33.52,6.8,2.0,0.96,25,360,500,0.3,0.06
7,seed_7,343.9454609972823,19.688202584572075,26.4,4.56,2.08,0.8,25,360,500,0.3,0.06
8,seed_8,353.7640482350223,19.77365785465479,30.0,10.08,4.0,1.28,25,360,500,0.3,0.06
9,seed_9,351.63170025503865,18.96761161765732,32.4,11.6,4.72,1.92,25,360,500,0.3,0.06
10,seed_10,335.9621246177331,19.72051242957636,22.96,5.44,2.56,0.8,25,360,500,0.3,0.06
11,seed_11,300.6371868464744,20.17312620433385,38.32,11.28,4.48,0.96,25,360,500,0.3,0.06
12,seed_12,336.20720906483774,19.55418722189208,34.32,5.84,2.24,0.48,25,360,500,0.3,0.06
13,seed_13,318.96759864529923,19.33987231014328,40.48,11.12,4.88,1.68,25,360,500,0.3,0.06
14,seed_14,322.5648720624977,19.51419030737917,32.4,9.04,3.68,0.72,25,360,500,0.3,0.06
15,seed_15,355.4617847892747,20.15706760329464,25.68,5.68,2.64,0.72,25,360,500,0.3,0.06
16,seed_16,292.6433160007993,20.843441684607896,37.92,13.92,6.0,1.76,25,360,500,0.3,0.06
17,seed_17,327.29684829356165,19.55464991341664,16.16,2.4,0.88,0.16,25,360,500,0.3,0.06
18,seed_18,331.9992210922023,20.18535749936428,43.04,12.24,5.52,1.04,25,360,500,0.3,0.06
19,seed_19,331.3721964939912,20.29188702486283,36.16,13.92,8.24,1.52,25,360,500,0.3,0.06
