,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,319.4983429954045,19.80753478386335,124.68,39.4,17.76,5.32,50,360,500,0.1,0.042
seed_1,310.44427228645276,19.591376568561827,149.2,47.12,22.12,8.16,50,360,500,0.1,0.042
seed_2,329.7557205461349,19.617008295597937,139.92,48.88,20.68,6.0,50,360,500,0.1,0.042
seed_3,287.3301642982986,19.767948745302412,154.12,51.0,21.72,6.84,50,360,500,0.1,0.042
seed_4,322.25019519387325,19.771031032083688,132.12,45.52,21.44,7.4,50,360,500,0.1,0.042
seed_5,325.7369405802651,20.029460543755306,147.24,50.92,22.96,7.28,50,360,500,0.1,0.042
seed_6,325.59005341180836,19.604188985760235,132.56,42.64,19.76,6.6,50,360,500,0.1,0.042
seed_7,319.2794539387838,19.878181634346337,135.44,37.72,17.12,6.16,50,360,500,0.1,0.042
seed_8,326.3836264063223,19.518040813114744,130.92,44.16,19.92,6.64,50,360,500,0.1,0.042
seed_9,320.1521915593148,19.464623970367494,130.2,44.08,19.32,6.2,50,360,500,0.1,0.042
seed_10,320.6505645296781,19.51878335431868,122.76,38.32,15.88,4.88,50,360,500,0.1,0.042
seed_11,310.2770996437508,19.939942263051005,129.56,43.4,20.56,6.48,50,360,500,0.1,0.042
seed_12,343.04104257367476,19.43221536078836,125.52,39.72,17.8,4.8,50,360,500,0.1,0.042
seed_13,320.8275933997459,19.61572404486932,135.36,43.08,18.2,5.92,50,360,500,0.1,0.042
seed_14,302.6794505848522,19.71768869463593,143.96,47.36,20.28,7.04,50,360,500,0.1,0.042
seed_15,314.9138891574601,19.512199626724613,154.32,53.52,24.04,8.08,50,360,500,0.1,0.042
seed_16,298.64506736032985,19.746999561106655,134.88,41.96,18.32,5.96,50,360,500,0.1,0.042
seed_17,297.1998673954858,19.890107400811505,138.36,42.52,19.44,5.8,50,360,500,0.1,0.042
seed_18,314.9363199211879,19.613099041905468,154.04,55.92,26.6,8.56,50,360,500,0.1,0.042
seed_19,309.0351188881429,19.94564075139528,143.2,48.76,22.12,6.4,50,360,500,0.1,0.042
