,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,628.1437022856076,22.014371671337553,106.08,30.2,13.64,3.76,50,360,500,0.4,0.08
seed_1,621.2424036494275,22.138700768077072,101.0,29.4,13.12,3.76,50,360,500,0.4,0.08
seed_2,624.1813093367022,22.43484733565004,93.52,26.84,10.4,3.44,50,360,500,0.4,0.08
seed_3,606.202271224787,22.482181371213603,92.68,22.44,8.64,2.52,50,360,500,0.4,0.08
seed_4,616.4396907162849,22.29614549955664,91.56,26.16,11.32,3.84,50,360,500,0.4,0.08
seed_5,685.075615370049,23.213825203968213,98.2,27.04,11.4,4.24,50,360,500,0.4,0.08
seed_6,631.2941684225598,21.64248399709321,91.28,25.28,11.52,2.52,50,360,500,0.4,0.08
seed_7,659.965095092198,22.449822486754115,96.4,26.64,11.04,4.04,50,360,500,0.4,0.08
seed_8,662.5642798789202,21.782067443843516,97.96,25.4,10.88,3.68,50,360,500,0.4,0.08
seed_9,665.9314245070635,22.73968925052895,82.16,20.32,8.2,2.32,50,360,500,0.4,0.08
seed_10,653.9880773577114,21.58581283761677,98.0,31.56,13.2,3.36,50,360,500,0.4,0.08
seed_11,701.5159172359528,23.5785698620337,84.04,22.4,7.68,1.84,50,360,500,0.4,0.08
seed_12,631.4476077608894,23.02529292957299,92.0,29.08,10.4,2.88,50,360,500,0.4,0.08
seed_13,654.0900141939007,22.108711952773792,103.24,29.24,11.64,3.6,50,360,500,0.4,0.08
seed_14,636.8742136824203,22.78109728390213,86.08,21.92,10.16,4.12,50,360,500,0.4,0.08
seed_15,676.3046203038135,23.526229310849615,93.96,25.28,10.48,3.72,50,360,500,0.4,0.08
seed_16,638.8469601138488,21.74096373925939,106.64,29.92,11.8,3.04,50,360,500,0.4,0.08
seed_17,645.6385040629167,22.0456965204126,87.84,25.2,10.8,2.92,50,360,500,0.4,0.08
seed_18,630.8418501235878,22.60682398272669,111.52,34.88,16.68,5.32,50,360,500,0.4,0.08
seed_19,618.4552334117906,22.20605199378652,97.0,30.56,12.08,2.68,50,360,500,0.4,0.08
