,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,168.8434475,18.44792079,162.72,50.28,23.48,8.32,50,360,500,0.3,0.03
seed_1,181.6230609,18.42237016,183,61.72,27.84,9.24,50,360,500,0.3,0.03
seed_2,181.2287976,18.64613192,164,54.32,23.92,7.84,50,360,500,0.3,0.03
seed_3,160.3323985,18.32533751,182.96,59,26.56,8.12,50,360,500,0.3,0.03
seed_4,170.35034,18.57493201,179.24,63.56,30,9.88,50,360,500,0.3,0.03
seed_5,180.5012609,18.4588131,182.92,63.96,28.76,8.36,50,360,500,0.3,0.03
seed_6,166.0328097,18.36957358,170.8,56.72,24.76,7.24,50,360,500,0.3,0.03
seed_7,179.4935474,18.45680158,170.8,53.8,23.24,6.76,50,360,500,0.3,0.03
seed_8,172.8840604,18.50097678,173.68,58.64,26.76,8.72,50,360,500,0.3,0.03
seed_9,181.5342108,18.41231026,147.32,50.68,22.68,7.12,50,360,500,0.3,0.03
seed_10,168.4259833,18.23023837,166.24,51.04,23.08,6.72,50,360,500,0.3,0.03
seed_11,173.0626726,18.60651904,185.24,66.2,32.24,10.2,50,360,500,0.3,0.03
seed_12,168.1156132,18.35622838,181.52,60.72,26.96,8.68,50,360,500,0.3,0.03
seed_13,179.8895538,18.26781298,185.56,58.2,25.88,8.68,50,360,500,0.3,0.03
seed_14,176.8227935,18.63859062,161.28,52.68,23.72,7.84,50,360,500,0.3,0.03
seed_15,173.8932563,18.58326031,183.64,63.96,32,10.64,50,360,500,0.3,0.03
seed_16,175.4195667,18.60253545,181.12,57.16,24.84,9.08,50,360,500,0.3,0.03
seed_17,161.1449672,18.24516619,196.52,65.96,29,9.12,50,360,500,0.3,0.03
seed_18,166.9967516,18.59815692,184.52,60.16,26.44,9.12,50,360,500,0.3,0.03
seed_19,173.8206682,18.3448452,187.48,58.48,24.4,8.52,50,360,500,0.3,0.03
