,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,148.8711807,18.99403403,172.04,54.72,23.32,5.96,50,360,500,0.9,0.03
seed_1,143.3289383,18.84857069,182.24,53.44,22.96,7.32,50,360,500,0.9,0.03
seed_2,142.7205278,18.72524298,173.52,53.6,23.36,6.8,50,360,500,0.9,0.03
seed_3,126.4147832,18.78355655,196.4,60.52,22.84,6.48,50,360,500,0.9,0.03
seed_4,132.411785,18.95014239,168,52.6,21,6.24,50,360,500,0.9,0.03
seed_5,133.2077162,18.80402907,186,55.44,24.12,7.36,50,360,500,0.9,0.03
seed_6,127.2360089,18.50585585,164.36,49.6,19.72,5.44,50,360,500,0.9,0.03
seed_7,146.4549225,18.83748523,161.6,46.2,20.72,6.96,50,360,500,0.9,0.03
seed_8,134.9716549,18.67813671,177.72,49.48,18.36,4.28,50,360,500,0.9,0.03
seed_9,140.1393952,18.62754586,173.32,53.12,20.32,4.76,50,360,500,0.9,0.03
seed_10,132.3439421,18.57535673,172.72,54.64,24.96,8,50,360,500,0.9,0.03
seed_11,136.5659658,18.83171949,176.84,48.92,20.56,5.04,50,360,500,0.9,0.03
seed_12,132.1619117,18.7725973,177.04,48.56,17.28,4.28,50,360,500,0.9,0.03
seed_13,138.4431191,18.79374137,181.64,55.2,23.6,6.84,50,360,500,0.9,0.03
seed_14,144.6776666,18.79515915,177.2,50.56,21.56,7.24,50,360,500,0.9,0.03
seed_15,135.5904933,18.75274632,196.44,55.16,23.24,6.68,50,360,500,0.9,0.03
seed_16,137.8985868,18.82752578,174.36,47.84,19.52,6.96,50,360,500,0.9,0.03
seed_17,134.9839063,18.81801588,178.28,55.04,22,7.12,50,360,500,0.9,0.03
seed_18,133.3235059,18.71518092,201.68,63.56,29.56,7.12,50,360,500,0.9,0.03
seed_19,137.5127928,19.02299402,198.72,60.08,25.52,7.44,50,360,500,0.9,0.03
