,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,156.908543021276,18.930855684012048,162.96,48.4,19.8,5.28,50,360,500,0.8,0.038
seed_1,159.38751357904326,18.886572234247726,178.8,51.0,21.8,7.6,50,360,500,0.8,0.038
seed_2,165.94468297989945,18.752850372888094,171.36,51.68,22.16,5.76,50,360,500,0.8,0.038
seed_3,149.47510385367235,18.878534238538617,198.2,62.68,26.68,6.84,50,360,500,0.8,0.038
seed_4,145.3272841352815,18.78407213252069,173.08,49.8,22.88,7.2,50,360,500,0.8,0.038
seed_5,167.1914798533806,19.153531305776458,153.52,44.76,19.08,5.08,50,360,500,0.8,0.038
seed_6,151.20655522691914,18.68139656613942,176.76,51.44,20.44,6.24,50,360,500,0.8,0.038
seed_7,158.24151604162375,18.990757831003776,157.84,44.24,18.0,4.68,50,360,500,0.8,0.038
seed_8,152.56510687557522,18.737339216066097,160.04,44.48,17.0,4.48,50,360,500,0.8,0.038
seed_9,159.7896870406844,18.69552494976072,163.24,47.76,21.32,5.8,50,360,500,0.8,0.038
seed_10,148.98263740142266,18.509560384350173,168.96,52.04,20.88,6.28,50,360,500,0.8,0.038
seed_11,157.87373423038468,19.000297894947245,166.88,49.36,20.6,5.48,50,360,500,0.8,0.038
seed_12,156.13189284355903,18.835723993480933,172.84,52.0,19.68,5.8,50,360,500,0.8,0.038
seed_13,155.92713255718445,18.772546270487485,185.04,49.36,23.24,7.0,50,360,500,0.8,0.038
seed_14,157.07524408309737,18.754915377876547,173.0,50.56,21.72,5.96,50,360,500,0.8,0.038
seed_15,157.08979088189994,18.785483376138433,191.16,55.48,23.64,7.24,50,360,500,0.8,0.038
seed_16,152.2723219928158,19.667523210139453,173.72,44.44,18.0,4.16,50,360,500,0.8,0.038
seed_17,152.87711112190834,18.81519406449352,187.2,53.16,18.2,4.08,50,360,500,0.8,0.038
seed_18,153.65418875354914,18.746589096918363,184.12,52.4,22.36,7.72,50,360,500,0.8,0.038
seed_19,160.3224179321977,18.989743351567526,186.92,57.44,24.32,6.32,50,360,500,0.8,0.038
