,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,272.3213833215424,19.32137199881137,36.88,7.92,2.32,0.32,25,360,500,0.5,0.06
1,seed_1,231.34200720282047,18.892751471075808,40.16,9.2,5.2,0.56,25,360,500,0.5,0.06
2,seed_2,242.18294152030896,19.104242863196685,35.04,8.08,3.04,0.56,25,360,500,0.5,0.06
3,seed_3,261.0409188453048,19.521782649940658,37.36,9.28,3.04,0.88,25,360,500,0.5,0.06
4,seed_4,251.6838787425101,19.954258129722955,37.68,11.2,5.44,0.96,25,360,500,0.5,0.06
5,seed_5,256.97130240694713,19.51471797446869,24.48,4.56,2.24,0.48,25,360,500,0.5,0.06
6,seed_6,270.69921767561647,19.074414745134348,51.84,12.24,4.8,0.88,25,360,500,0.5,0.06
7,seed_7,255.4685724150427,19.70169565485133,46.48,9.12,2.16,0.64,25,360,500,0.5,0.06
8,seed_8,260.5862418724207,18.840962734083213,41.52,10.64,3.44,1.2,25,360,500,0.5,0.06
9,seed_9,264.6306265387089,18.63100010425765,47.12,12.32,5.84,0.88,25,360,500,0.5,0.06
10,seed_10,266.2695332730676,19.582450390905382,40.88,8.56,2.88,0.64,25,360,500,0.5,0.06
11,seed_11,253.86263385615567,19.302401724480813,35.68,10.8,4.72,1.2,25,360,500,0.5,0.06
12,seed_12,274.4249857056077,19.359595698584148,34.72,5.04,1.2,0.16,25,360,500,0.5,0.06
13,seed_13,257.6242592155156,19.20002702324263,45.84,14.0,6.0,2.4,25,360,500,0.5,0.06
14,seed_14,271.4699469158692,18.744424550598183,27.6,4.96,1.84,0.24,25,360,500,0.5,0.06
15,seed_15,293.8602207178621,19.949656141747887,32.4,6.24,2.56,0.08,25,360,500,0.5,0.06
16,seed_16,255.64906493209435,19.64936723361762,44.48,4.56,1.52,0.4,25,360,500,0.5,0.06
17,seed_17,258.2297492377256,19.099761660183194,36.72,8.0,2.64,0.64,25,360,500,0.5,0.06
18,seed_18,256.54402288783115,19.517295869465144,40.4,10.16,4.16,1.2,25,360,500,0.5,0.06
19,seed_19,244.2349821108385,19.46364345468907,32.24,8.48,3.76,0.96,25,360,500,0.5,0.06
