,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,419.20582669924806,20.196799977804485,29.04,6.56,1.92,0.56,25,360,500,0.5,0.08
seed_1,371.3115239094977,19.624635710328224,26.32,4.96,2.32,0.64,25,360,500,0.5,0.08
seed_2,404.6614557871094,20.356542446964507,34.16,8.48,2.72,0.4,25,360,500,0.5,0.08
seed_3,442.05566719490656,20.72737136594218,45.36,12.72,3.52,1.36,25,360,500,0.5,0.08
seed_4,374.2646274498918,20.111364120423453,38.08,11.44,2.16,0.32,25,360,500,0.5,0.08
seed_5,389.95606731278417,19.586196816552338,21.44,5.36,2.56,1.44,25,360,500,0.5,0.08
seed_6,435.0591824714197,20.104564143670125,36.56,7.68,3.76,1.04,25,360,500,0.5,0.08
seed_7,415.2283541988196,20.243813452378717,37.92,10.24,4.72,0.88,25,360,500,0.5,0.08
seed_8,425.39610139646743,19.513804670428694,30.16,9.84,3.6,1.12,25,360,500,0.5,0.08
seed_9,403.3995411280797,19.26482217031615,29.44,3.84,1.44,0.08,25,360,500,0.5,0.08
seed_10,391.8902532504141,19.905051330092615,44.24,7.2,3.12,1.36,25,360,500,0.5,0.08
seed_11,412.89188002674416,20.81061943733025,25.36,7.44,3.04,0.88,25,360,500,0.5,0.08
seed_12,426.37588525422757,20.216257709377352,33.2,10.16,4.08,0.88,25,360,500,0.5,0.08
seed_13,390.8269047723707,19.909350484978845,26.16,4.88,2.0,0.4,25,360,500,0.5,0.08
seed_14,417.02315286901757,19.19761305384006,23.36,6.16,2.0,0.48,25,360,500,0.5,0.08
seed_15,413.9710929194051,20.55478737393985,23.6,6.4,3.76,1.76,25,360,500,0.5,0.08
seed_16,436.8735826968196,19.554175951551414,34.4,10.48,4.56,1.44,25,360,500,0.5,0.08
seed_17,391.77359219935255,20.55621232453177,28.16,7.92,2.64,0.48,25,360,500,0.5,0.08
seed_18,392.2488732337472,19.89615318070098,30.64,8.16,2.8,0.32,25,360,500,0.5,0.08
seed_19,386.41098622514954,19.897119894889563,36.24,10.0,6.08,1.68,25,360,500,0.5,0.08
