,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,127.17274068521515,18.31437716449441,184.08,60.16,22.84,6.92,50,360,500,0.6,0.02
seed_1,123.42084841109556,18.37759965975925,196.84,61.44,27.32,8.4,50,360,500,0.6,0.02
seed_2,131.5895010045025,18.21343243533079,196.24,69.24,32.68,10.76,50,360,500,0.6,0.02
seed_3,113.48701557527482,18.305416247196746,213.44,68.16,31.52,10.56,50,360,500,0.6,0.02
seed_4,116.74520978070491,18.140899952872488,199.64,63.96,29.64,9.88,50,360,500,0.6,0.02
seed_5,127.78531151900773,18.351588623038527,196.6,69.32,33.0,10.04,50,360,500,0.6,0.02
seed_6,116.54190152353397,18.006510431971243,200.64,65.16,26.36,8.72,50,360,500,0.6,0.02
seed_7,130.2329231017858,18.443595312654615,194.68,61.36,24.84,7.16,50,360,500,0.6,0.02
seed_8,124.68302244620689,18.205442930782564,194.88,57.88,25.56,7.92,50,360,500,0.6,0.02
seed_9,123.23818861599155,17.939126783574448,169.28,52.68,21.96,6.36,50,360,500,0.6,0.02
seed_10,119.45475310189768,18.01023881896195,190.88,63.24,27.68,8.08,50,360,500,0.6,0.02
seed_11,126.010260764096,18.435290943170312,218.56,76.72,36.52,12.12,50,360,500,0.6,0.02
seed_12,118.27266650671105,18.040405923328947,215.04,69.28,30.24,9.6,50,360,500,0.6,0.02
seed_13,125.11462002572696,18.088585278224503,183.48,59.44,25.56,7.56,50,360,500,0.6,0.02
seed_14,126.40420623723371,18.438769269551667,195.24,60.96,28.16,9.64,50,360,500,0.6,0.02
seed_15,122.55536187428638,18.318218188570626,195.36,66.72,29.4,9.36,50,360,500,0.6,0.02
seed_16,120.8069948978492,18.21922827207617,205.36,70.0,31.76,8.96,50,360,500,0.6,0.02
seed_17,119.00214392528969,18.1401398053103,192.2,58.96,24.92,8.24,50,360,500,0.6,0.02
seed_18,117.7904998828537,18.12613773752047,223.4,73.48,32.44,10.84,50,360,500,0.6,0.02
seed_19,127.01462782649338,18.17492290683682,204.52,70.6,32.0,10.64,50,360,500,0.6,0.02
