,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,200.73865789294024,18.945842070484154,156.12,49.32,22.76,6.36,50,360,500,0.5,0.04
seed_1,211.58010201606888,19.09018303476922,157.32,50.84,21.68,6.96,50,360,500,0.5,0.04
seed_2,219.2392454143546,19.47706305649084,161.28,54.28,24.28,6.64,50,360,500,0.5,0.04
seed_3,196.92305545195993,19.165567063772972,157.48,48.2,20.4,6.4,50,360,500,0.5,0.04
seed_4,206.67758337945023,19.222013691818,141.56,43.12,17.76,5.4,50,360,500,0.5,0.04
seed_5,216.5964830527958,19.388506108841536,163.2,52.8,21.28,7.2,50,360,500,0.5,0.04
seed_6,198.8956093431564,18.91600765218567,161.72,51.0,22.28,6.12,50,360,500,0.5,0.04
seed_7,223.5084169759128,19.254068665943908,146.32,44.68,18.72,5.76,50,360,500,0.5,0.04
seed_8,213.35509342467245,19.26755888114713,166.36,51.84,22.8,7.16,50,360,500,0.5,0.04
seed_9,215.5182177735579,19.014334435048564,151.6,42.32,16.92,4.96,50,360,500,0.5,0.04
seed_10,207.71449196439102,19.078026504586916,144.52,40.6,17.28,5.24,50,360,500,0.5,0.04
seed_11,209.4759930814794,19.437484725751958,153.88,45.8,17.8,4.68,50,360,500,0.5,0.04
seed_12,199.25784855089526,19.059468111509563,159.2,47.52,20.56,6.52,50,360,500,0.5,0.04
seed_13,215.24850992428378,19.166778180872992,159.6,48.12,22.2,6.6,50,360,500,0.5,0.04
seed_14,210.3851712768641,19.113796974342748,155.56,46.76,19.64,6.44,50,360,500,0.5,0.04
seed_15,209.62176842582846,19.200350085661707,181.28,57.24,24.84,7.28,50,360,500,0.5,0.04
seed_16,208.59771142911708,19.663373701354118,171.28,53.28,22.6,5.92,50,360,500,0.5,0.04
seed_17,209.7939313668767,19.177324004177795,153.36,48.28,19.4,5.72,50,360,500,0.5,0.04
seed_18,208.17510853003947,19.219247944196226,165.0,51.96,22.16,6.88,50,360,500,0.5,0.04
seed_19,214.2092520258279,19.033165065059507,157.12,46.24,19.2,5.68,50,360,500,0.5,0.04
