,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,135.01282331277383,18.790850949605446,160.0,43.36,18.56,6.16,50,360,500,1.0,0.046
seed_1,134.39327141465557,18.85758185674619,184.88,54.84,24.04,7.12,50,360,500,1.0,0.046
seed_2,138.59987520610088,18.510377787160884,163.6,51.68,22.6,7.2,50,360,500,1.0,0.046
seed_3,120.12538854982796,18.83967423407295,181.88,53.8,21.84,6.56,50,360,500,1.0,0.046
seed_4,132.64704311883685,18.9328028826642,178.16,53.6,20.4,5.52,50,360,500,1.0,0.046
seed_5,135.11865648749585,18.864221485824856,182.04,57.12,23.88,6.4,50,360,500,1.0,0.046
seed_6,124.60452497395806,18.69266394793286,178.44,54.44,20.16,5.2,50,360,500,1.0,0.046
seed_7,144.3433011623831,18.906371578103926,168.08,49.28,22.32,6.4,50,360,500,1.0,0.046
seed_8,129.61063878319803,18.504278955857615,185.4,51.72,21.88,5.72,50,360,500,1.0,0.046
seed_9,134.2340217968003,18.53533368611207,166.96,42.16,17.04,4.76,50,360,500,1.0,0.046
seed_10,128.18510509343997,18.487221714762853,163.12,48.04,20.16,5.4,50,360,500,1.0,0.046
seed_11,137.00818202496424,19.084229574655925,184.04,52.2,20.96,6.84,50,360,500,1.0,0.046
seed_12,129.3282842018068,18.76902384745562,173.08,51.96,18.6,4.72,50,360,500,1.0,0.046
seed_13,137.45543450225512,18.99252845479909,183.36,52.04,21.52,5.08,50,360,500,1.0,0.046
seed_14,137.90535030215923,18.710619763133717,158.04,41.48,17.48,4.96,50,360,500,1.0,0.046
seed_15,128.49780333717206,18.59172532892598,214.68,68.24,30.24,9.88,50,360,500,1.0,0.046
seed_16,128.30527343475788,19.53132653056522,176.0,42.88,15.84,4.56,50,360,500,1.0,0.046
seed_17,133.47637692108182,18.96213335254327,173.8,49.64,19.4,6.24,50,360,500,1.0,0.046
seed_18,124.57961147809112,18.77349743445799,210.48,66.52,27.84,7.68,50,360,500,1.0,0.046
seed_19,133.55895345754624,18.93037606100602,192.88,51.8,20.12,6.44,50,360,500,1.0,0.046
