,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,310.2430866436844,19.42859698579359,424.46,150.8,68.42,21.68,100,360,500,0.7,0.08
1,seed_1,314.3272237606648,19.38418876713464,431.02,143.96,66.42,21.96,100,360,500,0.7,0.08
2,seed_2,327.3503418171264,19.891935272385584,432.02,151.34,70.04,22.36,100,360,500,0.7,0.08
3,seed_3,314.794991674861,20.19248018139436,429.32,152.92,72.84,24.84,100,360,500,0.7,0.08
4,seed_4,309.1973697683118,19.793946623473403,418.34,137.78,62.46,20.58,100,360,500,0.7,0.08
