,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,337.38845069170634,18.821913878803862,39.52,9.6,3.68,1.52,25,360,500,0.7,0.1
seed_1,330.6198192679316,19.536713468553607,48.4,10.96,4.4,0.48,25,360,500,0.7,0.1
seed_2,327.22355622021837,20.045254776802903,48.24,11.2,4.16,1.76,25,360,500,0.7,0.1
seed_3,322.6439213262395,19.4063735794494,45.2,9.52,2.08,0.4,25,360,500,0.7,0.1
seed_4,319.2875864458151,19.56761304437325,57.28,15.36,6.08,1.44,25,360,500,0.7,0.1
seed_5,299.0228113485625,19.592632373092954,43.84,10.48,4.72,2.48,25,360,500,0.7,0.1
seed_6,290.215697482875,19.44476122230476,48.32,8.88,3.04,0.32,25,360,500,0.7,0.1
seed_7,300.81677616855325,19.073746522310753,47.84,11.6,3.6,1.04,25,360,500,0.7,0.1
seed_8,310.3741803455489,18.910614776446426,53.76,14.08,6.32,1.44,25,360,500,0.7,0.1
seed_9,324.50533719340297,19.228215672146515,33.84,9.12,4.24,1.04,25,360,500,0.7,0.1
seed_10,300.6286557993758,20.174590676839262,48.08,12.24,5.44,1.52,25,360,500,0.7,0.1
seed_11,294.74081268267526,19.588175911300823,50.56,12.4,4.8,1.04,25,360,500,0.7,0.1
seed_12,345.222577055134,19.098192388744394,47.04,8.08,2.72,0.64,25,360,500,0.7,0.1
seed_13,312.05344861334635,19.150997427721123,33.04,8.0,2.24,0.64,25,360,500,0.7,0.1
seed_14,339.73773314857283,19.35309176039308,32.16,5.12,2.32,0.72,25,360,500,0.7,0.1
seed_15,332.6552948679527,21.512625031191877,27.84,7.52,2.0,0.4,25,360,500,0.7,0.1
seed_16,297.4099772972678,20.156039432138293,33.28,9.52,3.76,0.4,25,360,500,0.7,0.1
seed_17,309.34372217845305,19.184098499053217,43.84,8.4,2.96,0.8,25,360,500,0.7,0.1
seed_18,347.2708580915761,20.36603383478287,48.64,11.6,5.04,1.36,25,360,500,0.7,0.1
seed_19,274.2810492818802,21.64985856698164,43.68,11.44,3.84,1.04,25,360,500,0.7,0.1
