,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,198.68216122834122,18.480637040098934,46.64,15.12,4.32,0.64,25,360,500,0.3,0.04
seed_1,176.82838005825616,18.516605045739055,58.24,21.6,10.08,2.64,25,360,500,0.3,0.04
seed_2,171.18070121654026,18.467429582406375,51.68,17.68,6.56,1.92,25,360,500,0.3,0.04
seed_3,176.16772787534353,18.579711834081987,53.76,16.0,6.96,2.16,25,360,500,0.3,0.04
seed_4,190.0573416910895,18.653199400125224,56.72,18.48,7.6,1.68,25,360,500,0.3,0.04
seed_5,178.74139801360417,18.554317713150155,49.44,12.08,3.92,1.12,25,360,500,0.3,0.04
seed_6,176.8569441520215,18.715452737903423,58.64,13.68,5.76,1.44,25,360,500,0.3,0.04
seed_7,175.6899816690246,18.69421415647064,44.96,8.72,4.0,0.88,25,360,500,0.3,0.04
seed_8,166.11061286153105,18.528485633337333,45.92,11.52,5.2,1.36,25,360,500,0.3,0.04
seed_9,183.81476358534826,18.46449251968328,50.96,14.96,5.2,1.44,25,360,500,0.3,0.04
seed_10,172.31104784944367,18.627473781611968,50.88,13.36,6.24,1.6,25,360,500,0.3,0.04
seed_11,160.42448226194222,18.858043072815295,61.28,21.44,8.96,2.4,25,360,500,0.3,0.04
seed_12,190.23669064854235,17.997302454948773,46.08,12.4,6.08,1.68,25,360,500,0.3,0.04
seed_13,167.12828302205287,18.53870744095798,48.48,12.32,5.6,2.56,25,360,500,0.3,0.04
seed_14,178.79545452534236,18.971525668099464,52.8,15.36,6.0,1.2,25,360,500,0.3,0.04
seed_15,199.99479140415156,19.072822553147724,57.28,14.24,5.84,1.92,25,360,500,0.3,0.04
seed_16,179.37688135756798,18.601791752425257,40.48,14.0,6.56,1.68,25,360,500,0.3,0.04
seed_17,196.11688010342718,18.654175532404622,54.32,14.32,5.52,1.6,25,360,500,0.3,0.04
seed_18,181.9989638703089,18.774469072418118,71.44,22.88,9.68,2.8,25,360,500,0.3,0.04
seed_19,182.91310379137445,18.859067643554425,49.44,10.64,3.28,0.88,25,360,500,0.3,0.04
