,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,720.4940354,23.29884491,70.36,23.2,11.28,3.92,50,360,500,0,0.06
1,seed_1,667.3083781,23.15590276,83.92,28.12,13.24,4.4,50,360,500,0,0.06
2,seed_2,696.609808,22.95652129,73.4,23.4,9.92,3.48,50,360,500,0,0.06
3,seed_3,650.8283892,22.85706745,89.64,25.68,10.44,4.16,50,360,500,0,0.06
4,seed_4,662.2308218,23.43485916,74.28,23.48,11.44,3.96,50,360,500,0,0.06
5,seed_5,667.6013163,23.69952206,86.12,27.96,12.72,4.44,50,360,500,0,0.06
6,seed_6,687.3316954,22.7112455,81.64,24.28,11.36,3.64,50,360,500,0,0.06
7,seed_7,717.4364314,22.60367013,76.4,25.6,10.32,3.64,50,360,500,0,0.06
8,seed_8,694.7887029,23.00992952,71.16,20.52,8.32,2.92,50,360,500,0,0.06
9,seed_9,677.8323711,22.90337096,74.8,21.8,8.2,2.92,50,360,500,0,0.06
10,seed_10,701.6324786,22.22667122,76.0,20.44,8.6,2.16,50,360,500,0,0.06
11,seed_11,678.750422,24.0948208,86.24,27.08,11.28,3.32,50,360,500,0,0.06
12,seed_12,678.6448041,23.77331734,84.8,24.92,12.12,4.4,50,360,500,0,0.06
13,seed_13,670.7776419,22.58977018,85.84,22.28,8.92,3.6,50,360,500,0,0.06
14,seed_14,648.4076328,23.45276677,84.44,23.36,10.72,3.24,50,360,500,0,0.06
15,seed_15,665.2835296,23.22608604,91.96,28.6,13.72,4.52,50,360,500,0,0.06
16,seed_16,662.8260695,23.24357189,76.52,21.72,8.76,2.32,50,360,500,0,0.06
17,seed_17,645.8952864,22.70633357,78.76,25.76,10.6,3.92,50,360,500,0,0.06
18,seed_18,689.014371,22.88370305,80.04,24.24,11.6,3.52,50,360,500,0,0.06
19,seed_19,652.4407344,23.89098203,99.8,32.56,14.96,5.16,50,360,500,0,0.06
