,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,312.13838496169626,19.69750234190148,32.8,7.68,2.72,0.8,25,360,500,0.6,0.08
seed_1,290.6712017353046,19.32920497777009,39.28,6.32,2.24,0.64,25,360,500,0.6,0.08
seed_2,351.4279672215808,19.632522392262285,36.4,8.72,4.08,1.2,25,360,500,0.6,0.08
seed_3,319.58236285384794,19.694699179335764,45.12,13.6,4.32,1.68,25,360,500,0.6,0.08
seed_4,303.1495761234528,19.417614210369987,47.36,9.68,2.8,0.56,25,360,500,0.6,0.08
seed_5,308.52784327348746,20.04608001207695,43.2,12.8,5.76,1.92,25,360,500,0.6,0.08
seed_6,303.7707462777063,20.023821034904486,48.24,11.92,5.44,2.16,25,360,500,0.6,0.08
seed_7,306.84872789950214,19.60797363325193,39.28,7.68,2.8,1.2,25,360,500,0.6,0.08
seed_8,308.7553163703849,19.205378875238925,50.16,10.8,4.8,1.44,25,360,500,0.6,0.08
seed_9,338.28159324571055,19.094430611491497,39.76,9.92,2.96,0.56,25,360,500,0.6,0.08
seed_10,335.5655324482253,19.43325956518086,28.64,8.72,3.6,1.2,25,360,500,0.6,0.08
seed_11,326.11067132843505,19.812718828361763,38.72,10.32,4.4,1.6,25,360,500,0.6,0.08
seed_12,343.49638370618936,19.87023852751744,51.52,11.68,3.36,0.56,25,360,500,0.6,0.08
seed_13,289.6620855718845,19.27378846968486,43.52,9.28,4.64,1.6,25,360,500,0.6,0.08
seed_14,325.7666981992555,18.609641715815236,35.2,5.76,1.28,0.16,25,360,500,0.6,0.08
seed_15,296.86183364886574,19.814574425185103,48.8,11.84,4.88,1.36,25,360,500,0.6,0.08
seed_16,291.77155508157165,19.277981069576313,36.0,9.84,3.52,0.72,25,360,500,0.6,0.08
seed_17,308.09444166754946,18.866487350571358,22.8,3.04,0.88,0.24,25,360,500,0.6,0.08
seed_18,316.7615450320556,19.702131763556608,39.6,7.6,3.04,0.64,25,360,500,0.6,0.08
seed_19,283.093427116902,19.722553592355442,41.92,8.96,3.36,0.72,25,360,500,0.6,0.08
