,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,80.89004719945997,17.959624390875256,65.28,14.88,5.04,1.76,25,360,500,0.8,0.02
seed_1,80.78822081056025,18.111704850370064,88.32,32.88,15.04,3.76,25,360,500,0.8,0.02
seed_2,79.32996744868656,18.04475069371153,59.12,12.48,4.16,1.12,25,360,500,0.8,0.02
seed_3,78.85519453551609,17.67392048793443,66.24,17.04,5.6,1.36,25,360,500,0.8,0.02
seed_4,73.94315284857106,18.13208248140985,78.64,18.32,5.76,1.04,25,360,500,0.8,0.02
seed_5,90.00897782935975,17.845186230256598,74.88,17.76,6.4,1.36,25,360,500,0.8,0.02
seed_6,85.00865461181155,18.31497560865189,60.48,12.0,3.44,0.56,25,360,500,0.8,0.02
seed_7,84.62816320947667,18.024114812109463,60.56,15.76,6.8,2.16,25,360,500,0.8,0.02
seed_8,87.54053468528417,18.016600882699244,69.84,17.68,6.72,0.56,25,360,500,0.8,0.02
seed_9,89.16418247952673,18.01865933466317,71.36,18.64,9.04,3.76,25,360,500,0.8,0.02
seed_10,81.40571486367935,17.882068077709764,69.68,14.88,6.4,2.64,25,360,500,0.8,0.02
seed_11,84.81742988235108,18.366926649342265,80.48,21.28,6.72,1.92,25,360,500,0.8,0.02
seed_12,78.4403801925103,17.596492708711054,62.32,15.12,7.6,2.8,25,360,500,0.8,0.02
seed_13,88.26546621032774,18.063021907722657,72.8,19.76,10.72,2.96,25,360,500,0.8,0.02
seed_14,82.79326886472757,17.89986279101501,55.92,15.12,6.0,2.88,25,360,500,0.8,0.02
seed_15,83.9311021970814,18.374309459146065,69.52,22.64,8.08,1.52,25,360,500,0.8,0.02
seed_16,81.05611908365452,18.162005050955536,69.52,14.4,5.36,1.76,25,360,500,0.8,0.02
seed_17,91.87700268585314,18.496650422107535,72.96,17.92,6.48,2.88,25,360,500,0.8,0.02
seed_18,88.44048688019043,18.186102338813154,93.52,25.44,9.92,2.56,25,360,500,0.8,0.02
seed_19,84.84638718220764,18.32290217701221,57.28,11.68,4.24,0.88,25,360,500,0.8,0.02
