,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,564.0533532,21.77104017,77.36,21.84,9.08,2.96,50,360,500,0.2,0.06
1,seed_1,539.9066994,22.01494283,101.16,30.04,12.88,3.96,50,360,500,0.2,0.06
2,seed_2,565.4155219,21.64139324,91.32,28.92,14.4,4.76,50,360,500,0.2,0.06
3,seed_3,529.1059113,21.46460917,104.52,34.48,15.96,5.08,50,360,500,0.2,0.06
4,seed_4,529.9479993,21.64616842,83.4,24.08,9.76,2.92,50,360,500,0.2,0.06
5,seed_5,535.2795544,22.41399832,99.76,31.68,16.24,4.68,50,360,500,0.2,0.06
6,seed_6,529.8409076,21.52245279,106.48,33.8,16.04,5.68,50,360,500,0.2,0.06
7,seed_7,553.6861937,21.86760158,95.12,29.8,12.28,3.52,50,360,500,0.2,0.06
8,seed_8,519.5048832,21.85141497,103.56,31.36,12.92,3.08,50,360,500,0.2,0.06
9,seed_9,547.3248367,21.16339095,103.4,28.52,13.04,4.84,50,360,500,0.2,0.06
10,seed_10,543.0198343,22.09446376,87.52,28.4,10.88,2.72,50,360,500,0.2,0.06
11,seed_11,523.5553626,22.00829283,96.72,30.92,11.68,3.6,50,360,500,0.2,0.06
12,seed_12,527.6422491,22.04147933,94.56,28.64,11.68,4.28,50,360,500,0.2,0.06
13,seed_13,502.3488316,22.12118721,115.6,31.16,12.64,3.56,50,360,500,0.2,0.06
14,seed_14,539.5851785,22.52175935,85.12,22.96,9.52,2.24,50,360,500,0.2,0.06
15,seed_15,524.5073162,21.94185402,109.16,29.8,13.12,4.8,50,360,500,0.2,0.06
16,seed_16,534.9158588,21.98382297,92.48,24.6,9.12,2.6,50,360,500,0.2,0.06
17,seed_17,517.0754724,21.12151948,106.76,34.96,16.2,4.64,50,360,500,0.2,0.06
18,seed_18,534.9047893,21.75896076,101.6,29.0,11.44,3.08,50,360,500,0.2,0.06
19,seed_19,539.7517509,21.96960028,111.2,34.72,15.96,4.04,50,360,500,0.2,0.06
