,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,153.62774519394392,19.02701768511678,154.0,47.72,21.72,6.48,50,360,500,0.9,0.046
seed_1,164.36814817107293,18.912394370517987,172.68,47.92,18.72,5.6,50,360,500,0.9,0.046
seed_2,160.34172034308895,18.89699911588857,171.84,52.64,23.56,7.6,50,360,500,0.9,0.046
seed_3,136.7837576095542,18.924021719465703,186.08,54.52,22.64,6.92,50,360,500,0.9,0.046
seed_4,147.48003419562127,19.13728290616029,176.8,56.92,25.0,7.76,50,360,500,0.9,0.046
seed_5,151.7544637663608,18.86826818705033,163.08,47.16,19.72,6.64,50,360,500,0.9,0.046
seed_6,150.6165108528415,18.894993928231752,168.68,47.32,19.56,5.08,50,360,500,0.9,0.046
seed_7,157.77711842712657,18.85227233512562,161.68,41.68,16.2,4.16,50,360,500,0.9,0.046
seed_8,149.01545010362193,18.752767557308815,164.0,39.52,14.6,4.28,50,360,500,0.9,0.046
seed_9,152.24752732328628,18.773681468077363,167.04,50.04,21.52,6.36,50,360,500,0.9,0.046
seed_10,143.3741884203815,18.598331384443615,175.28,48.72,19.04,6.0,50,360,500,0.9,0.046
seed_11,156.92929038422403,19.019827512286522,172.08,50.32,21.2,5.36,50,360,500,0.9,0.046
seed_12,149.98134180237707,18.895991832453504,168.76,53.6,21.72,6.6,50,360,500,0.9,0.046
seed_13,156.415688453016,18.8138349921225,172.48,51.24,21.56,6.84,50,360,500,0.9,0.046
seed_14,154.15431942721102,18.9537584414217,170.64,48.92,19.12,5.96,50,360,500,0.9,0.046
seed_15,148.26933864823806,18.976699621311152,204.84,62.72,26.96,8.16,50,360,500,0.9,0.046
seed_16,151.98896901355374,19.929469127088037,170.44,47.12,16.88,4.76,50,360,500,0.9,0.046
seed_17,149.97098163509082,18.81851366138375,162.6,46.32,18.24,5.8,50,360,500,0.9,0.046
seed_18,151.84628816345764,18.84974319900309,181.36,53.4,24.04,6.8,50,360,500,0.9,0.046
seed_19,149.82363550408743,18.93935431031661,190.4,54.68,22.6,6.44,50,360,500,0.9,0.046
