,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,765.7756419203849,22.96293928044508,79.92,25.6,12.16,4.32,50,360,500,0.3,0.08
seed_1,759.737962897766,23.664478146127095,90.32,29.2,12.48,3.68,50,360,500,0.3,0.08
seed_2,768.1828842539899,22.923971040704945,76.56,23.28,10.8,3.96,50,360,500,0.3,0.08
seed_3,744.1745347508014,23.70309570945292,92.12,26.52,11.48,3.24,50,360,500,0.3,0.08
seed_4,757.6494591298637,22.89289548391633,85.52,23.68,10.72,3.56,50,360,500,0.3,0.08
seed_5,784.6277956553214,23.5165920183628,90.6,25.68,10.76,3.96,50,360,500,0.3,0.08
seed_6,801.7324930176098,23.871635984597063,82.48,26.72,14.44,4.68,50,360,500,0.3,0.08
seed_7,770.6374540576866,23.877319038212725,88.48,24.6,11.4,4.44,50,360,500,0.3,0.08
seed_8,778.9144125231246,22.768913724718136,81.44,24.48,11.24,3.16,50,360,500,0.3,0.08
seed_9,787.7030102608041,22.05009055955364,77.2,24.04,10.48,3.32,50,360,500,0.3,0.08
seed_10,755.0358384212693,23.885692714777417,79.72,25.6,9.88,3.28,50,360,500,0.3,0.08
seed_11,787.3704930227101,24.11113885918558,62.52,18.4,7.36,2.0,50,360,500,0.3,0.08
seed_12,756.0675427621893,23.83072454412135,90.64,28.84,11.52,2.36,50,360,500,0.3,0.08
seed_13,705.0420588816792,23.368483099395437,99.96,28.2,11.76,2.76,50,360,500,0.3,0.08
seed_14,781.1735520215184,24.840897503560267,70.52,20.48,9.68,3.44,50,360,500,0.3,0.08
seed_15,780.7449008880649,22.52729990942159,80.52,26.8,11.4,3.56,50,360,500,0.3,0.08
seed_16,731.4956838787807,24.42626871884316,98.72,28.24,10.28,3.64,50,360,500,0.3,0.08
seed_17,775.422926053057,22.564019609822452,87.32,26.24,11.96,4.0,50,360,500,0.3,0.08
seed_18,780.7055218049,23.029235822393684,84.28,23.4,9.44,3.32,50,360,500,0.3,0.08
seed_19,740.3641974927095,23.054673757435857,93.32,27.68,11.52,3.8,50,360,500,0.3,0.08
