,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,874.4626778069395,21.806608227437998,10.24,4.24,2.4,0.56,25,360,500,0,0.08
seed_1,851.8527654153881,21.927757856676777,6.08,1.68,0.72,0.08,25,360,500,0,0.08
seed_2,822.8761016109496,21.723199425362655,16.48,6.4,3.2,1.12,25,360,500,0,0.08
seed_3,871.1309923799791,22.217115567491756,10.72,3.2,2.16,0.72,25,360,500,0,0.08
seed_4,871.6341021727491,24.34862421447147,8.16,1.92,0.32,0.08,25,360,500,0,0.08
seed_5,792.2833183644921,21.81867698055951,8.56,2.64,1.36,0.48,25,360,500,0,0.08
seed_6,757.7975857308612,21.15114568791341,6.08,0.88,0.4,0.0,25,360,500,0,0.08
seed_7,731.1524161487031,20.629042301984626,8.4,1.92,0.72,0.0,25,360,500,0,0.08
seed_8,855.3311857690012,23.777984338893944,12.72,6.24,2.88,1.12,25,360,500,0,0.08
seed_9,754.9971259196168,23.216628417638127,10.72,4.96,2.48,0.96,25,360,500,0,0.08
seed_10,818.5523536400854,23.053546606710473,7.92,2.8,1.68,0.96,25,360,500,0,0.08
seed_11,830.973682177888,22.16328907439033,11.04,4.48,2.16,0.56,25,360,500,0,0.08
seed_12,914.8161754476146,22.806148740331164,11.2,3.04,1.04,0.4,25,360,500,0,0.08
seed_13,841.6167937644858,22.713520113485657,12.24,3.68,1.92,0.8,25,360,500,0,0.08
seed_14,836.2396925606591,21.912428053810977,7.6,1.6,0.48,0.16,25,360,500,0,0.08
seed_15,838.3111704257598,23.01297742701424,5.68,1.68,0.48,0.16,25,360,500,0,0.08
seed_16,848.5693502066221,21.96647273515487,12.96,3.6,1.52,0.48,25,360,500,0,0.08
seed_17,790.4059255090829,22.71569480190261,8.08,2.0,1.2,0.56,25,360,500,0,0.08
seed_18,794.0197444392927,22.66414313087045,11.04,2.24,0.8,0.24,25,360,500,0,0.08
seed_19,779.8478617026896,22.4204919785975,14.0,4.16,1.68,0.32,25,360,500,0,0.08
