,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,210.99894125281372,19.342651897919644,152.84,47.88,22.12,6.6,50,360,500,0.4,0.038
seed_1,212.22199459685504,18.726977176238485,159.04,51.24,22.84,7.2,50,360,500,0.4,0.038
seed_2,217.40149615474533,19.31029815328733,159.76,53.12,23.92,7.8,50,360,500,0.4,0.038
seed_3,201.75945813899787,19.313890082309587,169.04,54.4,22.84,7.4,50,360,500,0.4,0.038
seed_4,207.29988040485006,18.984981705156617,169.08,54.12,23.72,7.36,50,360,500,0.4,0.038
seed_5,212.40946789421122,18.930942760006914,168.28,56.92,24.88,8.4,50,360,500,0.4,0.038
seed_6,210.57466588873,18.8054049801233,159.04,51.88,20.8,6.24,50,360,500,0.4,0.038
seed_7,227.9832044686643,19.15989174101207,158.56,51.68,22.68,6.24,50,360,500,0.4,0.038
seed_8,215.35708935181802,19.094865461290816,164.68,50.52,22.24,6.6,50,360,500,0.4,0.038
seed_9,225.00568750082988,18.702215427975798,149.72,48.36,22.4,7.04,50,360,500,0.4,0.038
seed_10,209.90262365206348,19.01021350614342,156.8,46.4,22.0,5.8,50,360,500,0.4,0.038
seed_11,211.424178141433,19.22584027649427,152.72,50.16,22.2,7.04,50,360,500,0.4,0.038
seed_12,204.16094938906946,18.920884055092124,166.48,51.52,21.08,5.8,50,360,500,0.4,0.038
seed_13,221.02716835041213,19.07704503219764,159.84,48.32,20.44,7.28,50,360,500,0.4,0.038
seed_14,214.62402362527652,18.84009697721823,161.16,51.72,24.4,8.28,50,360,500,0.4,0.038
seed_15,207.69630538978618,19.207396168823173,171.92,52.56,22.44,7.72,50,360,500,0.4,0.038
seed_16,216.90677242975514,19.195214647576634,159.72,54.0,25.04,8.0,50,360,500,0.4,0.038
seed_17,217.43771056716923,18.9791854105973,170.68,54.16,20.92,5.48,50,360,500,0.4,0.038
seed_18,202.1783028748734,19.11422177821938,174.52,61.04,25.96,7.28,50,360,500,0.4,0.038
seed_19,216.49932261464545,19.102170117140965,171.8,55.8,23.88,7.48,50,360,500,0.4,0.038
