,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,829.6405827045062,22.14083865505788,8.72,2.56,1.68,0.56,25,360,500,0.2,0.1
seed_1,885.2417049617585,20.513538890767435,5.52,1.2,0.56,0.08,25,360,500,0.2,0.1
seed_2,720.8615044646183,21.33036141675155,11.04,2.48,1.04,0.4,25,360,500,0.2,0.1
seed_3,826.1702046440812,22.915861387624336,15.04,5.28,2.32,0.64,25,360,500,0.2,0.1
seed_4,924.246794514148,24.260593478374382,19.52,4.0,1.36,0.24,25,360,500,0.2,0.1
seed_5,903.391987503197,22.03155189557057,15.76,4.16,2.32,0.88,25,360,500,0.2,0.1
seed_6,967.9382028069703,23.208426978125015,21.52,5.2,2.32,0.32,25,360,500,0.2,0.1
seed_7,750.8920111447811,21.711650294351546,14.32,5.52,2.72,0.96,25,360,500,0.2,0.1
seed_8,915.2821467337158,22.092708503939342,12.24,3.44,1.6,0.48,25,360,500,0.2,0.1
seed_9,891.3873629400676,21.226661053633226,10.72,3.2,1.36,0.72,25,360,500,0.2,0.1
seed_10,878.7641609345081,22.182491081980263,11.2,2.8,1.36,0.4,25,360,500,0.2,0.1
seed_11,821.8996215748863,22.394773599651447,13.28,3.28,1.6,0.4,25,360,500,0.2,0.1
seed_12,930.5050549330397,21.842388427081897,15.36,4.72,2.08,0.88,25,360,500,0.2,0.1
seed_13,913.7307802926679,22.77988077869198,23.92,6.56,2.72,0.64,25,360,500,0.2,0.1
seed_14,820.0182235278793,21.14198986678201,13.36,4.8,0.96,0.32,25,360,500,0.2,0.1
seed_15,906.8226164559118,23.2395952876855,6.96,1.36,0.64,0.08,25,360,500,0.2,0.1
seed_16,831.1423173370532,21.80428772616216,11.92,3.6,1.84,0.96,25,360,500,0.2,0.1
seed_17,894.7640068310797,24.41590151407737,15.92,4.96,1.92,0.64,25,360,500,0.2,0.1
seed_18,770.8332283945357,22.12007019308682,18.24,5.76,2.4,0.48,25,360,500,0.2,0.1
seed_19,905.1893967466474,21.825822619656,16.4,3.92,1.84,0.72,25,360,500,0.2,0.1
