,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,698.4269305409299,22.775321061143188,345.14,119.62,54.7,17.56,100,360,500,0.4,0.1
1,seed_1,696.3048254902329,23.67936598850037,338.92,120.2,56.3,18.74,100,360,500,0.4,0.1
2,seed_2,714.8808110402729,22.876405055105003,345.08,116.26,54.36,18.36,100,360,500,0.4,0.1
3,seed_3,709.2088169957408,22.73370574998404,351.98,118.84,54.72,17.84,100,360,500,0.4,0.1
4,seed_4,686.7156246385098,24.08390274822909,340.6,112.78,52.8,17.82,100,360,500,0.4,0.1
