,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,129.84748582006242,18.41656960567671,39.6,7.92,2.48,0.64,25,360,500,0.6,0.04
seed_1,123.76288372134319,18.506487029940782,62.24,17.36,6.88,2.72,25,360,500,0.6,0.04
seed_2,139.53908523737758,18.573301838139894,52.24,12.16,4.32,0.88,25,360,500,0.6,0.04
seed_3,128.997404161041,18.042768073985364,71.28,19.2,6.96,2.4,25,360,500,0.6,0.04
seed_4,133.80276653665823,18.5471759585018,66.24,15.84,5.52,1.92,25,360,500,0.6,0.04
seed_5,143.3985651912492,18.378002245660717,66.88,17.92,6.8,1.52,25,360,500,0.6,0.04
seed_6,143.64971152804256,18.518383153347347,63.12,16.24,5.52,1.28,25,360,500,0.6,0.04
seed_7,131.14037633786054,18.502822255388764,62.72,15.52,4.32,1.28,25,360,500,0.6,0.04
seed_8,140.68912411093595,18.249298925753784,49.52,10.88,4.48,1.12,25,360,500,0.6,0.04
seed_9,133.3373596387938,18.19911016236045,52.08,12.4,4.48,1.52,25,360,500,0.6,0.04
seed_10,135.28219529991662,18.365499953423974,59.68,14.88,6.56,1.44,25,360,500,0.6,0.04
seed_11,129.188655136115,18.63399901900513,71.04,19.12,6.64,1.92,25,360,500,0.6,0.04
seed_12,136.91012339452826,17.816270584318733,59.68,14.56,4.24,1.04,25,360,500,0.6,0.04
seed_13,144.79685461063525,18.266710344332996,50.8,12.56,4.8,2.0,25,360,500,0.6,0.04
seed_14,132.69318767008733,18.44361436566301,47.84,12.96,6.0,1.6,25,360,500,0.6,0.04
seed_15,149.48393964679323,19.039747033900625,55.68,15.52,5.2,1.12,25,360,500,0.6,0.04
seed_16,139.67048078597986,18.510130651475077,64.16,21.12,7.36,1.44,25,360,500,0.6,0.04
seed_17,151.63676465886581,18.45095919522504,56.48,14.0,5.76,1.68,25,360,500,0.6,0.04
seed_18,138.00629625604498,18.925762073288578,77.52,16.4,7.12,2.08,25,360,500,0.6,0.04
seed_19,131.80195299083272,18.607801559052756,45.04,12.08,3.04,0.24,25,360,500,0.6,0.04
