,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,108.12192760228915,17.620157416399525,196.96,69.2,35.08,11.92,50,360,500,0.2,0.02
seed_1,109.04183522412444,17.692290153898952,224.28,78.08,36.96,12.96,50,360,500,0.2,0.02
seed_2,119.85099363214673,17.56379783055942,206.36,74.08,36.0,11.2,50,360,500,0.2,0.02
seed_3,105.6007664417146,17.564548419689434,225.56,79.6,38.68,12.32,50,360,500,0.2,0.02
seed_4,110.82978052637237,17.645899163480813,223.36,82.6,39.96,13.84,50,360,500,0.2,0.02
seed_5,113.86978922319513,17.584442882411036,211.2,78.52,39.08,12.56,50,360,500,0.2,0.02
seed_6,108.27426301357673,17.467281482124882,220.24,83.4,41.76,15.28,50,360,500,0.2,0.02
seed_7,116.10559512310729,17.68725448510695,200.8,69.08,30.6,11.2,50,360,500,0.2,0.02
seed_8,105.85256710428921,17.708166456955958,214.16,75.8,33.4,12.2,50,360,500,0.2,0.02
seed_9,113.8957684780897,17.566012578682155,198.92,69.72,33.2,11.32,50,360,500,0.2,0.02
seed_10,115.22254619675306,17.459200034536284,211.4,75.8,34.8,11.32,50,360,500,0.2,0.02
seed_11,114.48273032102517,17.573056876851197,211.96,78.12,39.32,12.64,50,360,500,0.2,0.02
seed_12,105.46461074682864,17.558533606312867,219.56,76.24,35.72,13.4,50,360,500,0.2,0.02
seed_13,116.47727318086372,17.666515511065107,223.52,78.72,35.28,12.28,50,360,500,0.2,0.02
seed_14,111.05991357691347,17.470080179857078,205.16,75.12,37.16,13.48,50,360,500,0.2,0.02
seed_15,116.28392764920318,17.693000778324137,218.64,80.24,39.44,12.28,50,360,500,0.2,0.02
seed_16,112.24646559179575,17.66077809528702,217.56,77.08,35.12,11.24,50,360,500,0.2,0.02
seed_17,110.64386302505702,17.518037123688508,231.52,85.48,41.12,13.52,50,360,500,0.2,0.02
seed_18,109.03883573177673,17.706265463098735,231.12,88.16,43.08,15.32,50,360,500,0.2,0.02
seed_19,114.55290698607774,17.604664865379164,214.32,80.24,39.36,13.36,50,360,500,0.2,0.02
