,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,766.3642135619605,22.174143611753443,89.36,26.2,12.76,4.56,50,360,500,0.5,0.1
seed_1,701.4204249937358,22.370550836457756,116.32,35.28,13.76,4.2,50,360,500,0.5,0.1
seed_2,776.5541717554064,22.753957977120002,112.12,33.68,15.76,6.44,50,360,500,0.5,0.1
seed_3,738.6731577968093,23.55320743865828,93.08,25.64,11.44,4.2,50,360,500,0.5,0.1
seed_4,755.4929122364669,22.970439398360238,83.84,22.92,8.44,3.04,50,360,500,0.5,0.1
seed_5,770.3234066230193,22.91634181956456,89.96,25.88,12.36,3.48,50,360,500,0.5,0.1
seed_6,778.6101854312506,22.04616096002017,99.6,27.8,11.24,3.48,50,360,500,0.5,0.1
seed_7,760.0715812648722,22.492614048236618,99.96,28.04,11.92,4.72,50,360,500,0.5,0.1
seed_8,777.1893771051946,22.889089906044916,85.92,20.92,8.72,2.64,50,360,500,0.5,0.1
seed_9,751.5433163920702,23.951240808261193,91.2,25.48,10.56,3.2,50,360,500,0.5,0.1
seed_10,775.8740975008084,22.569038903810014,96.68,27.8,12.04,4.08,50,360,500,0.5,0.1
seed_11,782.5832585857223,23.32468034123733,95.28,32.44,15.16,3.76,50,360,500,0.5,0.1
seed_12,772.4251503571504,22.82203965913113,101.4,25.76,9.32,2.44,50,360,500,0.5,0.1
seed_13,743.2898927799469,23.603702768664597,107.0,29.52,11.36,2.88,50,360,500,0.5,0.1
seed_14,797.1968195342628,23.693474096289528,96.24,26.52,11.04,3.4,50,360,500,0.5,0.1
seed_15,766.9806277576047,23.109682652986518,94.92,27.48,12.16,4.08,50,360,500,0.5,0.1
seed_16,726.4412972574718,23.955786568787175,115.08,38.32,17.96,6.24,50,360,500,0.5,0.1
seed_17,751.0010178959518,22.388357216276308,94.24,29.56,12.68,4.6,50,360,500,0.5,0.1
seed_18,784.9677820615566,22.530250519863166,106.92,33.24,13.2,4.44,50,360,500,0.5,0.1
seed_19,784.954088666744,23.378938361220758,97.12,25.52,9.76,3.12,50,360,500,0.5,0.1
