,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,106.59558331832005,18.284358647749652,58.8,14.64,4.56,1.2,25,360,500,0.8,0.04
seed_1,98.13587578464693,18.25534001283455,63.68,14.4,5.76,0.64,25,360,500,0.8,0.04
seed_2,116.65654769234055,18.03526116919818,59.04,13.36,3.12,1.04,25,360,500,0.8,0.04
seed_3,102.10951904159211,18.099128359978593,74.48,18.0,6.56,1.52,25,360,500,0.8,0.04
seed_4,89.76593509309355,18.444922308919683,79.28,20.48,7.36,2.0,25,360,500,0.8,0.04
seed_5,116.54309695519314,18.27878451286617,49.36,9.92,5.12,1.12,25,360,500,0.8,0.04
seed_6,99.50043500598032,18.50103563131711,61.52,16.24,5.84,1.44,25,360,500,0.8,0.04
seed_7,110.94970108860149,18.316896729789427,59.52,15.36,4.72,1.6,25,360,500,0.8,0.04
seed_8,99.40691745465946,18.288051370595717,65.84,14.4,7.52,2.48,25,360,500,0.8,0.04
seed_9,104.55627062828493,17.972446986344767,60.72,16.48,6.64,1.76,25,360,500,0.8,0.04
seed_10,107.62439829150084,18.39097361744384,55.92,13.6,4.16,0.64,25,360,500,0.8,0.04
seed_11,103.71018318549845,18.74966936073012,70.48,20.64,8.32,2.64,25,360,500,0.8,0.04
seed_12,106.50628223215433,17.943719096411588,56.32,15.36,6.0,1.6,25,360,500,0.8,0.04
seed_13,117.9481134248912,18.33583372138603,54.32,10.0,4.16,1.36,25,360,500,0.8,0.04
seed_14,113.0232065415555,18.235216272024545,58.88,13.04,5.92,2.16,25,360,500,0.8,0.04
seed_15,118.47569500453916,19.03424559993379,48.88,9.04,3.68,0.08,25,360,500,0.8,0.04
seed_16,105.80474423308942,18.260140777700805,69.44,20.72,5.68,0.4,25,360,500,0.8,0.04
seed_17,112.13989795716833,18.41058392772732,57.84,12.64,4.4,1.12,25,360,500,0.8,0.04
seed_18,121.25836598371332,18.4076670044577,68.24,17.52,9.04,2.72,25,360,500,0.8,0.04
seed_19,100.3405221141576,18.389931698068157,54.0,14.48,5.36,0.88,25,360,500,0.8,0.04
