,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,410.8503722284965,19.79949169260231,390.04,142.02,67.82,20.96,100,360,500,0.2,0.06
1,seed_1,413.98131006127215,20.400764530967447,378.56,132.9,62.98,19.8,100,360,500,0.2,0.06
2,seed_2,427.88883382842346,20.088230443104173,376.58,134.34,66.66,23.2,100,360,500,0.2,0.06
3,seed_3,408.8339415492677,20.4029344491292,380.42,136.74,64.68,21.28,100,360,500,0.2,0.06
4,seed_4,387.4517747649592,20.378264012909742,383.44,136.44,64.92,21.72,100,360,500,0.2,0.06
