,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,179.2874422635167,18.554061142091683,152.88,52.2,23.8,7.56,50,360,500,0.4,0.032
seed_1,177.05204472006383,18.57735944042484,181.76,59.64,25.44,8.08,50,360,500,0.4,0.032
seed_2,184.72477724631892,18.63114691113504,161.8,54.04,24.32,7.72,50,360,500,0.4,0.032
seed_3,163.33711645334785,18.572676155923283,191.64,61.88,27.44,8.8,50,360,500,0.4,0.032
seed_4,169.41674150260766,18.742754118726904,167.08,53.36,25.64,7.8,50,360,500,0.4,0.032
seed_5,173.4037469117033,18.446261612273194,172.68,56.2,25.64,7.24,50,360,500,0.4,0.032
seed_6,172.29738010501543,18.430665874407143,172.64,54.92,24.28,7.36,50,360,500,0.4,0.032
seed_7,190.89595649767503,18.67296118564966,154.2,49.84,19.84,6.44,50,360,500,0.4,0.032
seed_8,176.92949497383177,18.48547644751433,173.08,54.4,21.36,6.36,50,360,500,0.4,0.032
seed_9,184.61447459234535,18.386717106255965,149.08,44.76,19.68,6.92,50,360,500,0.4,0.032
seed_10,185.034320368783,18.49578257094164,163.32,52.12,23.4,7.04,50,360,500,0.4,0.032
seed_11,175.07352046361376,18.95465897095695,157.88,53.68,27.2,8.56,50,360,500,0.4,0.032
seed_12,174.62406365484864,18.578559652311185,169.68,51.72,21.92,7.36,50,360,500,0.4,0.032
seed_13,186.41604079548085,18.566420535074876,172.16,57.0,26.36,8.88,50,360,500,0.4,0.032
seed_14,176.36390894046232,18.589550417766457,180.6,59.04,28.4,9.68,50,360,500,0.4,0.032
seed_15,178.82196239160072,18.787549026052538,191.88,66.0,30.44,8.68,50,360,500,0.4,0.032
seed_16,175.94607066980763,18.75766092239767,171.56,53.16,21.36,6.48,50,360,500,0.4,0.032
seed_17,171.82557563091143,18.495331130884157,174.28,52.2,21.16,5.8,50,360,500,0.4,0.032
seed_18,164.11238580726445,18.84728969439462,182.52,60.4,26.08,8.2,50,360,500,0.4,0.032
seed_19,170.26297439373448,18.461759132767448,167.64,58.2,26.12,8.6,50,360,500,0.4,0.032
