,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,262.56807477668167,19.53841810020364,132.68,36.36,17.28,5.72,50,360,500,0.5,0.05
seed_1,260.78236828063694,19.476301608201148,150.12,47.8,19.96,6.44,50,360,500,0.5,0.05
seed_2,260.7440458433796,19.66403129631955,144.72,41.72,17.56,5.32,50,360,500,0.5,0.05
seed_3,257.5918091091373,19.726554425696825,156.36,48.28,21.44,7.16,50,360,500,0.5,0.05
seed_4,278.73585058268657,19.953830994092687,127.6,40.64,18.52,5.56,50,360,500,0.5,0.05
seed_5,272.1049685774373,19.80575034067744,150.8,48.08,20.12,6.6,50,360,500,0.5,0.05
seed_6,256.7325900905652,19.538155421995288,158.72,47.76,20.76,5.96,50,360,500,0.5,0.05
seed_7,280.01009069568613,19.674622527901104,149.8,47.12,16.76,5.08,50,360,500,0.5,0.05
seed_8,286.31430624845297,19.952972586367206,136.16,38.08,15.84,5.04,50,360,500,0.5,0.05
seed_9,272.59670730631007,19.902193475420475,119.44,34.96,16.76,5.08,50,360,500,0.5,0.05
seed_10,270.3672428949833,19.70825059761589,149.48,48.92,19.92,6.56,50,360,500,0.5,0.05
seed_11,271.0876397517529,19.947780880609614,146.72,46.92,19.88,5.64,50,360,500,0.5,0.05
seed_12,261.91047649247395,20.61183123189171,138.36,42.68,18.12,5.84,50,360,500,0.5,0.05
seed_13,279.1837202265129,19.866960472342882,139.92,41.72,18.96,6.6,50,360,500,0.5,0.05
seed_14,289.1371038285969,19.89899450012755,138.8,40.44,18.64,5.44,50,360,500,0.5,0.05
seed_15,275.50356025267246,19.839063913372343,143.56,41.76,17.4,5.16,50,360,500,0.5,0.05
seed_16,275.34355258530957,19.775180003100804,153.08,42.88,18.72,6.52,50,360,500,0.5,0.05
seed_17,275.6682111873139,19.970948708838975,132.28,34.84,14.88,4.08,50,360,500,0.5,0.05
seed_18,293.74728166167216,19.592803302652708,141.52,41.36,18.16,5.72,50,360,500,0.5,0.05
seed_19,277.384838433133,19.775748881913763,136.4,40.96,16.72,5.12,50,360,500,0.5,0.05
