,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,226.75363140610634,19.478891539724614,135.44,40.12,17.4,4.92,50,360,500,0.6,0.048
seed_1,232.05877605001155,19.394955304166228,169.56,50.56,23.32,8.04,50,360,500,0.6,0.048
seed_2,230.8965307865588,19.069898555877646,141.68,43.64,20.0,6.48,50,360,500,0.6,0.048
seed_3,212.0317007265286,19.434660226322862,158.64,43.08,18.88,4.72,50,360,500,0.6,0.048
seed_4,231.90267970280564,19.56172605199741,129.76,37.92,16.08,4.44,50,360,500,0.6,0.048
seed_5,256.1198442198558,19.675854302584224,154.12,45.84,20.48,5.68,50,360,500,0.6,0.048
seed_6,220.84909464893116,19.19476235269972,157.88,44.84,19.52,5.44,50,360,500,0.6,0.048
seed_7,241.1931448969347,19.4083772635566,148.6,43.6,16.48,5.32,50,360,500,0.6,0.048
seed_8,246.38753881805818,19.481779114149614,150.56,43.8,18.88,5.52,50,360,500,0.6,0.048
seed_9,234.47333237421,19.176189289403577,140.08,36.88,13.52,3.6,50,360,500,0.6,0.048
seed_10,231.29110657437434,19.398168471530507,145.64,46.16,18.56,5.32,50,360,500,0.6,0.048
seed_11,228.52769009359614,19.630719707495448,163.04,46.92,20.12,5.68,50,360,500,0.6,0.048
seed_12,228.643507195303,19.048992582084555,156.52,47.44,19.36,4.96,50,360,500,0.6,0.048
seed_13,231.28193007398988,19.502235522662122,167.56,49.92,20.36,5.68,50,360,500,0.6,0.048
seed_14,242.59638338492354,19.497345762173317,151.2,44.16,17.84,5.88,50,360,500,0.6,0.048
seed_15,224.01922985146288,19.739830450619063,155.0,45.2,20.24,5.0,50,360,500,0.6,0.048
seed_16,224.27568338584047,19.43011369595898,149.32,43.76,19.84,6.24,50,360,500,0.6,0.048
seed_17,228.15168751881112,19.34185443854886,157.36,47.6,19.72,6.24,50,360,500,0.6,0.048
seed_18,219.87208408980402,20.102282657082217,154.16,50.08,21.64,6.8,50,360,500,0.6,0.048
seed_19,232.04040967255128,19.556595011022388,161.12,48.24,19.6,5.28,50,360,500,0.6,0.048
