,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,220.5492338655031,19.184940218988068,151.8,42.4,15.08,3.6,50,360,500,0.8,0.06
1,seed_1,206.1664115862962,19.497727279969705,174.96,52.24,22.6,7.56,50,360,500,0.8,0.06
2,seed_2,212.4090043629879,19.13623219001794,162.56,44.56,18.24,6.08,50,360,500,0.8,0.06
3,seed_3,202.74727346170047,19.33551094241669,173.8,50.28,18.76,4.96,50,360,500,0.8,0.06
4,seed_4,198.31989897276472,19.80654737472828,149.72,41.68,18.08,4.68,50,360,500,0.8,0.06
5,seed_5,224.46255403050583,19.62548519622433,142.32,38.52,14.6,4.68,50,360,500,0.8,0.06
6,seed_6,210.58860356247345,19.241986037602487,156.28,41.44,17.68,5.52,50,360,500,0.8,0.06
7,seed_7,214.2987785240066,19.449954181541965,167.2,48.72,22.16,6.52,50,360,500,0.8,0.06
8,seed_8,212.76425327367105,19.393801471689084,155.44,45.0,21.16,6.6,50,360,500,0.8,0.06
9,seed_9,220.2295965145969,19.26516640555951,144.48,38.6,15.04,5.04,50,360,500,0.8,0.06
10,seed_10,199.7682520694859,19.46399617168103,160.4,44.36,15.12,3.8,50,360,500,0.8,0.06
11,seed_11,210.77733182694453,19.257812649074268,155.52,48.72,20.84,6.2,50,360,500,0.8,0.06
12,seed_12,211.5687981706633,19.21105368591269,151.36,46.16,19.96,6.56,50,360,500,0.8,0.06
13,seed_13,199.67942413069017,19.307104301127648,163.72,46.8,19.52,5.56,50,360,500,0.8,0.06
14,seed_14,208.14679968065943,19.19309712674127,161.6,47.56,19.28,5.28,50,360,500,0.8,0.06
15,seed_15,211.8534752581598,19.364139720897256,166.92,49.12,22.16,7.32,50,360,500,0.8,0.06
16,seed_16,206.32381789465677,19.224768495953917,160.2,45.84,20.28,6.44,50,360,500,0.8,0.06
17,seed_17,195.6866555218282,19.360885742951105,184.96,57.52,22.6,5.96,50,360,500,0.8,0.06
18,seed_18,207.55295337493865,19.165050396602147,168.0,53.64,23.96,8.16,50,360,500,0.8,0.06
19,seed_19,211.3650789254206,19.431759747248115,185.32,59.12,24.68,7.48,50,360,500,0.8,0.06
