,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,889.1829351245142,24.12883052947313,87.28,26.04,11.52,3.84,50,360,500,0.4,0.1
seed_1,899.1698174485322,23.073835489644047,81.84,23.0,8.72,2.72,50,360,500,0.4,0.1
seed_2,911.110104923253,24.106960420567837,81.52,23.84,10.76,3.8,50,360,500,0.4,0.1
seed_3,917.9508630558988,24.073479002795786,74.48,20.16,8.16,2.16,50,360,500,0.4,0.1
seed_4,931.0084142592208,24.249528550698066,81.72,23.48,10.28,2.6,50,360,500,0.4,0.1
seed_5,925.0682776846569,24.300780299265504,78.72,21.68,8.76,2.6,50,360,500,0.4,0.1
seed_6,936.2522642482786,24.09451340820126,90.88,24.72,10.16,3.28,50,360,500,0.4,0.1
seed_7,941.0500409284103,23.171142499086994,89.28,25.4,9.6,2.96,50,360,500,0.4,0.1
seed_8,939.1591879797446,24.0066499480972,75.24,21.2,10.52,3.76,50,360,500,0.4,0.1
seed_9,920.3555422004714,23.365062053542218,71.4,19.56,8.8,2.88,50,360,500,0.4,0.1
seed_10,902.2736870928087,23.408844263239832,87.16,31.0,12.8,3.52,50,360,500,0.4,0.1
seed_11,950.0905586509082,24.58797953471572,72.76,18.52,6.88,1.64,50,360,500,0.4,0.1
seed_12,906.5509745786999,24.731611825461453,82.28,26.88,11.8,3.2,50,360,500,0.4,0.1
seed_13,913.992566426836,23.380775406402613,82.28,22.6,9.64,2.4,50,360,500,0.4,0.1
seed_14,932.8856618000852,26.194683781595774,77.24,19.12,7.32,1.96,50,360,500,0.4,0.1
seed_15,915.4380327327701,23.865219130772985,84.28,23.44,10.52,3.2,50,360,500,0.4,0.1
seed_16,897.432334746703,23.80408515525527,89.8,27.0,12.64,4.16,50,360,500,0.4,0.1
seed_17,877.4329897127174,23.289083765186813,98.56,29.36,12.4,3.08,50,360,500,0.4,0.1
seed_18,954.1171149599186,22.96184960859327,82.76,27.44,10.8,3.28,50,360,500,0.4,0.1
seed_19,922.6025766615313,23.92374054691475,89.36,26.52,10.84,3.12,50,360,500,0.4,0.1
